chapter,subtopic,front,back
Capítulo 4,Tejido conjuntivo,¿Qué función principal aporta el tejido conjuntivo denso?,Resistencia mecánica.
Capítulo 4,Tejido conjuntivo,¿Qué ejemplos de tejido conjuntivo especializado menciona el capítulo?,"Hueso, cartílago y sangre."
Capítulo 4,Tejido conjuntivo,¿Qué caracteriza la matriz extracelular del hueso?,Está mineralizada con calcio y fosfato asociados al colágeno.
Capítulo 4,Tejido conjuntivo,¿Qué caracteriza la matriz extracelular del cartílago?,Contiene mucha agua unida a grupos hialurónicos.
Capítulo 4,Tejido conjuntivo,¿Qué caracteriza la matriz extracelular de la sangre?,Es líquida y rica en proteínas.
Capítulo 4,Tejido conjuntivo,¿Cómo se llama la matriz extracelular líquida de la sangre?,Plasma.
Capítulo 4,Tejido muscular,¿Qué propiedad funcional define al tejido muscular?,La contractilidad celular.
Capítulo 4,Tejido muscular,¿Qué proteínas contráctiles contienen las células musculares?,Actina y miosina.
Capítulo 4,Tejido muscular,¿Qué estructuras forman la actina y la miosina en células musculares?,Miofilamentos.
Capítulo 4,Tejido muscular,¿Qué causa las estriaciones del músculo esquelético y cardíaco?,La organización específica de los miofilamentos.
Capítulo 4,Tejido muscular,¿Qué tipos de músculo presentan estriaciones?,El músculo esquelético y el músculo cardíaco.
Capítulo 4,Tejido muscular,¿Qué tipo de músculo no presenta estriaciones?,El músculo liso.
Capítulo 4,Tejido nervioso,¿Qué función general cumple el tejido nervioso?,"Recibir, transmitir e integrar información."
Capítulo 4,Tejido nervioso,¿Qué célula nerviosa transmite impulsos eléctricos?,La neurona.
Capítulo 4,Tejido nervioso,¿Qué partes forman una neurona típica?,"Soma, axón y dendritas."
Capítulo 4,Tejido nervioso,¿Qué parte de la neurona transmite impulsos desde el soma?,El axón.
Capítulo 4,Tejido nervioso,¿Qué parte de la neurona recibe impulsos hacia el soma?,Las dendritas.
Capítulo 4,Tejido nervioso,¿Dónde se encuentran las neuronas del sistema nervioso central?,En el encéfalo y la médula espinal.
Capítulo 4,Tejido nervioso,¿Qué estructuras forman el sistema nervioso periférico?,Nervios y ganglios.
Capítulo 4,Tejido nervioso,¿Cómo se llaman las células de sostén del sistema nervioso central?,Células de la glía.
Capítulo 4,Tejido nervioso,¿Qué células de sostén se encuentran en el sistema nervioso periférico?,Células de Schwann y células satélite.
Capítulo 4,Histogénesis de los tejidos,¿Cuáles son las tres capas germinales embrionarias?,"Ectodermo, mesodermo y endodermo."
Capítulo 4,Histogénesis de los tejidos,¿Qué capa germinal origina derivados de superficie y neuroectodermo?,El ectodermo.
Capítulo 4,Derivados ectodérmicos,¿Qué derivado cutáneo se origina del ectodermo de superficie?,La epidermis.
Capítulo 4,Derivados ectodérmicos,¿Qué anexos cutáneos derivan del ectodermo de superficie?,"Pelos, uñas, glándulas cutáneas y glándulas mamarias."
Capítulo 4,Derivados ectodérmicos,¿Qué estructura dental deriva del ectodermo de superficie?,El esmalte dentario.
Capítulo 4,Derivados ectodérmicos,¿Qué parte de la hipófisis deriva del ectodermo de superficie?,La hipófisis anterior.
Capítulo 4,Derivados ectodérmicos,¿Qué estructuras oculares derivan del ectodermo de superficie?,El epitelio de la córnea y el cristalino.
Capítulo 4,Derivados ectodérmicos,¿Qué estructura del sistema nervioso deriva del tubo neural?,El sistema nervioso central.
Capítulo 4,Derivados ectodérmicos,¿Qué estructura ocular deriva del neuroectodermo del tubo neural?,La retina.
Capítulo 4,Derivados ectodérmicos,¿Qué parte de la hipófisis deriva del neuroectodermo?,La hipófisis posterior.
Capítulo 4,Derivados ectodérmicos,¿Qué células pigmentarias derivan de la cresta neural?,Los melanocitos.
Capítulo 4,Derivados ectodérmicos,¿Qué células gliales periféricas derivan de la cresta neural?,Las células de Schwann.
Capítulo 4,Derivados ectodérmicos,¿Qué estructura suprarrenal deriva de la cresta neural?,La médula suprarrenal.
Capítulo 4,Derivados ectodérmicos,¿Qué células dentales derivan de la cresta neural?,Los odontoblastos.
Capítulo 4,Derivados mesodérmicos,¿Qué capa germinal origina la mayor parte del tejido conjuntivo?,El mesodermo.
Capítulo 4,Derivados mesodérmicos,¿Qué capa germinal origina el tejido muscular?,El mesodermo.
Capítulo 4,Derivados mesodérmicos,¿Qué sistemas vasculares derivan del mesodermo?,Los sistemas cardiovascular y linfático.
Capítulo 4,Derivados mesodérmicos,¿Qué células circulantes derivan del mesodermo?,Las células sanguíneas y linfáticas.
Capítulo 4,Derivados mesodérmicos,¿Qué órgano linfoide deriva del mesodermo?,El bazo.
Capítulo 4,Derivados mesodérmicos,¿Qué parte de la glándula suprarrenal deriva del mesodermo?,La corteza suprarrenal.
Capítulo 4,Derivados mesodérmicos,¿Qué región mesodérmica origina el sistema urogenital?,El mesodermo intermedio.
Capítulo 4,Derivados mesodérmicos,¿Qué región mesodérmica origina músculo esquelético del tórax y miembros?,El mesodermo paraxial.
Capítulo 4,Derivados mesodérmicos,"¿Qué región mesodérmica origina serosas como pleura, pericardio y peritoneo?",El mesodermo lateral.
Capítulo 4,Derivados endodérmicos,¿Qué capa germinal forma la pared del intestino primitivo?,El endodermo.
Capítulo 4,Derivados endodérmicos,¿Qué epitelio digestivo deriva del endodermo?,El epitelio del tubo digestivo.
Capítulo 4,Derivados endodérmicos,¿Qué partes del tubo digestivo no derivan del endodermo?,La cavidad bucal y la región distal del conducto anal.
Capítulo 4,Derivados endodérmicos,¿Qué glándulas digestivas extramurales derivan del endodermo?,"Hígado, páncreas y vesícula biliar."
Capítulo 4,Derivados endodérmicos,¿Qué epitelio respiratorio deriva del endodermo?,El epitelio del sistema respiratorio.
Capítulo 4,Derivados endodérmicos,¿Qué epitelio urinario deriva del endodermo?,El revestimiento de la vejiga urinaria y gran parte de la uretra.
Capítulo 4,Derivados endodérmicos,¿Qué glándulas endocrinas tienen componentes epiteliales derivados del endodermo?,Tiroides y paratiroides.
Capítulo 4,Derivados endodérmicos,¿Qué órgano linfoepitelial tiene componente epitelial derivado del endodermo?,El timo.
Capítulo 4,Teratomas,¿Qué es un teratoma?,Un tumor con tejidos derivados de más de una capa germinal.
Capítulo 4,Teratomas,¿Qué tipo de célula puede originar un teratoma?,Una célula madre pluripotencial.
Capítulo 4,Teratomas,¿Por qué los teratomas suelen aparecer en gónadas?,Porque allí se encuentran células madre pluripotenciales.
Capítulo 4,Teratomas,¿Qué caracteriza la organización tisular de un teratoma?,Contiene tejidos maduros dispuestos de forma desorganizada.
Capítulo 4,Teratomas,¿Por qué los tejidos de un teratoma no forman órganos funcionales?,Porque carecen de organización estructural normal.
Capítulo 4,Teratomas,¿Qué nombre recibe con frecuencia el teratoma ovárico maduro?,Quiste dermoide.
Capítulo 4,Identificación de los tejidos,¿En qué se basa el reconocimiento histológico de los tejidos?,En componentes celulares específicos y relaciones celulares específicas.
Capítulo 4,Identificación de los tejidos,¿Qué pregunta ayuda a reconocer epitelio en un corte histológico?,Si las células están asociadas a una superficie libre.
Capítulo 4,Identificación de los tejidos,¿Qué pregunta ayuda a reconocer tejido conjuntivo en un corte histológico?,Si las células están separadas por una matriz extracelular definida.
Capítulo 4,Identificación de los tejidos,¿Qué pregunta ayuda a reconocer músculo o nervio en un corte histológico?,Si las células tienen propiedades especiales de contracción o conducción.
Capítulo 4,Identificación de los tejidos,¿Por qué se estudian los tejidos por separado aunque formen órganos integrados?,Para comprender mejor su estructura y función dentro de los órganos.
