chapter	subtopic	front	back
Capítulo 13	Válvulas cardíacas	¿Qué epitelio recubre por completo una valva cardíaca?	Endotelio.
Capítulo 13	Válvulas cardíacas	¿Qué válvulas son auriculoventriculares?	Mitral y tricúspide.
Capítulo 13	Válvulas cardíacas	¿Qué válvulas son semilunares?	Aórtica y pulmonar.
Capítulo 13	Fibrosa valvular	¿En qué superficie de una válvula AV se ubica la fibrosa?	En la superficie ventricular.
Capítulo 13	Fibrosa valvular	¿En qué superficie de una válvula semilunar se ubica la fibrosa?	En la superficie arterial.
Capítulo 13	Esponjosa valvular	¿Qué fibras acompañan a los proteoglucanos en la esponjosa?	Fibras elásticas y colágenas laxas.
Capítulo 13	Esponjosa valvular	¿Qué propiedades aporta la esponjosa a la valva?	Flexibilidad y plasticidad.
Capítulo 13	Ventricular valvular	¿Cómo se denomina esta capa en una válvula AV?	Capa auricular.
Capítulo 13	Ventricular valvular	¿Cómo se denomina esta capa en una válvula semilunar?	Capa ventricular.
Capítulo 13	Células intersticiales valvulares	¿Qué células mantienen la matriz de las valvas?	Las células intersticiales valvulares.
Capítulo 13	Células intersticiales valvulares	¿Qué fenotipo pueden adoptar las células intersticiales valvulares?	Fenotipo de miofibroblasto.
Capítulo 13	Células intersticiales valvulares	¿Qué función cumplen ante una lesión valvular?	Reparan y remodelan la matriz.
Capítulo 13	Regulación intrínseca	¿Qué puede hacer el corazón sin un estímulo nervioso directo?	Contraerse de forma rítmica.
Capítulo 13	Regulación intrínseca	¿Qué nodo genera espontáneamente impulsos con mayor frecuencia?	El nodo sinoauricular.
Capítulo 13	Regulación intrínseca	¿Qué secuencia sigue el impulso tras el nodo SA?	Nodo AV, haz de His y fibras de Purkinje.
Capítulo 13	Nodo sinoauricular	¿En qué pared auricular se localiza el nodo SA?	En la aurícula derecha.
Capítulo 13	Nodo sinoauricular	¿Cerca de qué gran vena se localiza el nodo SA?	De la vena cava superior.
Capítulo 13	Haz auriculoventricular	¿En qué ramas se divide el haz de His?	Derecha e izquierda.
Capítulo 13	Fibras de Purkinje	¿Cómo es el diámetro de una fibra de Purkinje frente a un cardiomiocito común?	Mayor.
Capítulo 13	Fibras de Purkinje	¿Cómo es la cantidad de miofibrillas en una fibra de Purkinje?	Escasa.
Capítulo 13	Fibras de Purkinje	¿Las fibras de Purkinje conservan discos intercalares?	Sí.
Capítulo 13	Células nodales	¿Qué células nodales funcionan como marcapasos?	Las células P.
Capítulo 13	Células nodales	¿Qué células nodales propagan el impulso?	Las células transicionales.
Capítulo 13	Células nodales	¿Cómo es la cantidad de miofibrillas en las células nodales?	Menor que en los cardiomiocitos auriculares.
Capítulo 13	Disfunción sinusal	¿Qué grupo etario presenta con mayor frecuencia síndrome del seno enfermo?	Adultos mayores.
Capítulo 13	Disfunción sinusal	¿Qué es un bloqueo sinoauricular?	Fallo en la propagación del impulso desde el nodo SA.
Capítulo 13	Arritmias	¿Qué significa taquicardia?	Frecuencia cardíaca acelerada.
Capítulo 13	Arritmias	¿Qué significa bradicardia?	Frecuencia cardíaca disminuida.
Capítulo 13	Arritmias	¿Qué significa asistolia?	Ausencia de actividad rítmica cardíaca.
Capítulo 13	Arritmias	¿Qué caracteriza a la fibrilación?	Contracciones rápidas, irregulares e ineficaces.
Capítulo 13	Regulación cardíaca	¿Qué nervio lleva la principal influencia parasimpática al corazón?	El nervio vago.
Capítulo 13	Regulación cardíaca	¿Qué ion circulante puede aumentar la actividad cardíaca?	Ca²⁺.
Capítulo 13	Regulación cardíaca	¿Qué hormona metabólica puede aumentar la frecuencia cardíaca?	La hormona tiroidea.
Capítulo 13	Regulación cardíaca	¿Qué estimulante común aumenta la frecuencia cardíaca?	La cafeína.
Capítulo 13	Receptores cardiovasculares	¿En qué grandes vasos se concentran barorreceptores?	Seno carotídeo y arco aórtico.
Capítulo 13	Receptores cardiovasculares	¿Los receptores de volumen son de presión alta o baja?	De presión baja.
Capítulo 13	Receptores cardiovasculares	¿Dónde se encuentran los receptores de volumen?	En las paredes de las aurículas y los ventrículos.
Capítulo 13	Receptores cardiovasculares	¿Qué variable respiratoria ayudan a ajustar los quimiorreceptores?	La frecuencia respiratoria.
Capítulo 13	Túnica íntima	¿Qué tres componentes forman la íntima?	Endotelio, lámina basal y capa subendotelial.
Capítulo 13	Túnica íntima	¿De qué tejido está formada la capa subendotelial?	Tejido conjuntivo laxo.
Capítulo 13	Túnica íntima	¿Qué permiten las fenestraciones de la membrana elástica interna?	Difusión hacia capas profundas.
Capítulo 13	Túnica media	¿Qué lámina separa la media de la adventicia arterial?	La membrana elástica externa.
Capítulo 13	Túnica media	¿Qué célula produce la matriz extracelular de la media?	La célula muscular lisa.
Capítulo 13	Túnica media	¿Qué fibras finas acompañan a la elastina entre células musculares?	Fibras reticulares.
Capítulo 13	Túnica media	¿Cómo se disponen las láminas elásticas?	En capas circulares concéntricas.
Capítulo 13	Túnica adventicia	¿Cómo se orienta principalmente el colágeno adventicial?	Longitudinalmente.
Capítulo 13	Túnica adventicia	¿En qué tipo de vaso suele ser la adventicia el componente principal?	En las venas.
Capítulo 13	Vasa vasorum	¿Qué capas de un vaso grande reciben irrigación de los vasa vasorum?	Adventicia y media externa.
Capítulo 13	Vasa vasorum	¿Qué vasos suelen carecer de vasa vasorum?	Los menores de 0.5 mm.
Capítulo 13	Nervi vasorum	¿A qué división nerviosa pertenecen los nervi vasorum?	Al sistema nervioso autónomo.
Capítulo 13	Nervi vasorum	¿Qué túnica alcanzan principalmente los nervi vasorum?	La túnica media externa.
Capítulo 13	Endotelio vascular	¿Qué longitud total aproximada tiene la red vascular adulta?	96 500 km.
Capítulo 13	Endotelio vascular	¿Cómo se orienta el eje largo endotelial respecto al flujo?	Paralelo al flujo.
Capítulo 13	Endotelio vascular	¿Qué moléculas atraviesan directamente el endotelio por difusión?	Moléculas lipófilas pequeñas.
Capítulo 13	Endotelio vascular	¿Qué mecanismo transporta macromoléculas a través del endotelio?	Transcitosis.
Capítulo 13	Endotelio vascular	¿Qué vesículas utiliza la vía transcelular?	Vesículas micropinocíticas y macropinocíticas.
Capítulo 13	Endotelio vascular	¿Qué función inmunitaria cumple el endotelio activado?	Recluta leucocitos.
Capítulo 13	Endotelio vascular	¿Qué función endocrina local posee el endotelio?	Secreta reguladores vasoactivos.
Capítulo 13	Hemostasia endotelial	¿Qué glucoproteína endotelial estabiliza al factor VIII?	Factor de von Willebrand.
Capítulo 13	Hemostasia endotelial	¿Qué célula sanguínea se adhiere al factor de von Willebrand?	La plaqueta.
Capítulo 13	Hemostasia endotelial	¿Qué propiedad adquiere el endotelio lesionado?	Propiedad protrombótica.
Capítulo 13	Óxido nítrico	¿Qué aminoácido utiliza eNOS para producir NO?	L-arginina.
Capítulo 13	Óxido nítrico	¿Qué segundo mensajero aumenta el NO en músculo liso?	GMP cíclico.
Capítulo 13	Óxido nítrico	¿Qué estímulo mecánico favorece la liberación de NO?	El esfuerzo de cizallamiento.
Capítulo 13	Óxido nítrico	¿Qué factor de crecimiento activa eNOS según el texto?	El VEGF.
Capítulo 13	Endotelina	¿En qué célula se sintetiza la endotelina 1 vascular?	En la célula endotelial.
Capítulo 13	Endotelina	¿Sobre qué célula actúa principalmente la endotelina 1?	Sobre el músculo liso vascular.
Capítulo 13	Endotelina	¿Qué ion intracelular aumenta durante la vasoconstricción?	Ca²⁺.
Capítulo 13	Endotelina	¿Qué toxina posee estructura afín a la endotelina?	La sarafotoxina.
Capítulo 13	Regulación vasomotora	¿Qué efecto tiene la prostaciclina sobre las plaquetas?	Inhibe su agregación.
Capítulo 13	Regulación vasomotora	¿Qué efecto vascular tiene la prostaciclina?	Vasodilatación.
Capítulo 13	Regulación vasomotora	¿Qué prostanoide favorece la vasoconstricción?	El tromboxano A₂.
Capítulo 13	Regulación vasomotora	¿Qué enzima muscular activa la contracción mediante miosina?	MLCK.
Capítulo 13	Regulación vasomotora	¿Qué proteína reguladora activa MLCK al unirse Ca²⁺?	Calmodulina.
Capítulo 13	Arterias elásticas	¿Qué diámetro suele tener una arteria elástica?	Más de 10 mm.
Capítulo 13	Arterias elásticas	¿Cómo es la íntima elástica frente a la de una arteria muscular?	Más gruesa.
Capítulo 13	Arterias elásticas	¿Por qué no se distingue bien la membrana elástica interna?	Se confunde con otras laminillas.
Capítulo 13	Arterias elásticas	¿Qué célula sintetiza colágeno y elastina en la media elástica?	La célula muscular lisa.
Capítulo 13	Arterias elásticas	¿Qué capa contiene nervios y vasa vasorum?	La adventicia.
Capítulo 13	Arterias elásticas	¿Cuántas laminillas puede tener la aorta torácica hacia los 35 años?	Hasta 60.
Capítulo 13	Envejecimiento aórtico	¿Qué ocurre con las laminillas aórticas desde alrededor de los 50 años?	Comienzan a degenerarse.
Capítulo 13	Envejecimiento aórtico	¿Qué sustituye gradualmente a las laminillas degeneradas?	Colágeno.
Capítulo 13	Envejecimiento aórtico	¿Qué consecuencia tiene el reemplazo de elastina por colágeno?	Pérdida de elasticidad.
Capítulo 13	Arterias musculares	¿Qué diámetro caracteriza a una arteria muscular mediana?	2-10 mm.
Capítulo 13	Arterias musculares	¿Qué arterias constituyen la mayoría de las arterias con nombre?	Las arterias musculares.
Capítulo 13	Arterias musculares	¿Qué membrana separa íntima y media?	La membrana elástica interna.
Capítulo 13	Arterias musculares	¿Qué membrana suele separar media y adventicia?	La membrana elástica externa.
Capítulo 13	Arterias musculares	¿Qué produce el aspecto ondulado de la membrana elástica interna?	La contracción del vaso.
Capítulo 13	Arterias pequeñas	¿Qué diámetro caracteriza a una arteria pequeña?	0.1-2 mm.
Capítulo 13	Arterias pequeñas	¿Cuántas capas musculares puede poseer su media?	Hasta ocho capas.
Capítulo 13	Arteriolas	¿Qué diámetro caracteriza a una arteriola?	10-100 µm.
Capítulo 13	Arteriolas	¿Puede una arteriola grande conservar membrana elástica interna?	Sí.
Capítulo 13	Arteriolas	¿Cómo es la adventicia arteriolar?	Delgada y mal definida.
Capítulo 13	Arteriolas	¿Qué efecto sistémico produce la contracción generalizada de arteriolas?	Aumenta la presión arterial.
Capítulo 13	Esfínteres precapilares	¿Qué forma un esfínter precapilar?	Un engrosamiento de músculo liso.
Capítulo 13	Esfínteres precapilares	¿Dónde se ubica un esfínter precapilar?	En el origen de un capilar.
Capítulo 13	Esfínteres precapilares	¿Qué determina el esfínter precapilar?	La entrada de sangre al capilar.
Capítulo 13	Metarteriolas	¿Qué vaso conecta una arteriola con una vénula dentro del lecho capilar?	La metarteriola.
Capítulo 13	Metarteriolas	¿Qué segmento de una vía preferencial constituye la metarteriola?	El segmento inicial.
Capítulo 13	Anastomosis arteriovenosas	¿Qué capa muscular regula el paso por una anastomosis AV?	La túnica media.
Capítulo 13	Anastomosis arteriovenosas	¿Qué función térmica cumple su apertura en la piel?	Conserva calor al evitar capilares superficiales.
Capítulo 13	Anastomosis arteriovenosas	¿Qué ocurre con el flujo cutáneo cuando se cierran?	Aumenta por los capilares.
Capítulo 13	Capilares	¿Qué diámetro típico posee un capilar?	4-10 µm.
Capítulo 13	Capilares	¿Qué longitud capilar total aproximada posee el cuerpo?	80 000 km.
Capítulo 13	Capilares	¿Por qué los eritrocitos se deforman en algunos capilares?	La luz es más estrecha que ellos.
Capítulo 13	Capilares	¿Posee túnica media un capilar?	No.
Capítulo 13	Capilares	¿Posee túnica adventicia un capilar?	No.
Capítulo 13	Capilares continuos	¿Qué uniones predominan entre sus células endoteliales?	Uniones ocluyentes.
Capítulo 13	Capilares continuos	¿Qué vesículas son numerosas en los capilares continuos?	Vesículas pinocíticas.
Capítulo 13	Capilares continuos	¿En qué tejidos son comunes los capilares continuos?	En tejido conjuntivo y músculos.
Capítulo 13	Capilares fenestrados	¿Qué suele cubrir una fenestra capilar?	Un diafragma fino.
Capítulo 13	Capilares fenestrados	¿Por qué favorecen el intercambio rápido?	Por sus poros endoteliales.
Capítulo 13	Capilares discontinuos	¿Cómo es su diámetro frente al de otros capilares?	Mayor.
Capítulo 13	Capilares discontinuos	¿Qué pueden atravesar sus grandes aberturas?	Macromoléculas y células.
Capítulo 13	Capilares discontinuos	¿Qué órgano linfoide posee sinusoides?	El bazo.
Capítulo 13	Pericitos	¿Qué otro nombre reciben los pericitos?	Células de Rouget.
Capítulo 13	Pericitos	¿Qué prolongaciones emiten alrededor del capilar?	Prolongaciones citoplasmáticas envolventes.
Capítulo 13	Pericitos	Durante el desarrollo o la angiogénesis, ¿qué células pueden originar los pericitos?	Células endoteliales y musculares lisas.
Capítulo 13	Intercambio capilar	¿Qué moléculas atraviesan el endotelio por difusión simple?	Oxígeno y dióxido de carbono.
Capítulo 13	Intercambio capilar	¿Qué proceso endotelial mueve sustancias en vesículas?	Transcitosis.
Capítulo 13	Densidad capilar	¿Qué tejidos tienen redes capilares extensas?	Riñón, hígado, corazón y músculo esquelético.
Capítulo 13	Densidad capilar	¿Qué relación existe entre metabolismo y densidad capilar?	A mayor metabolismo, mayor densidad.
Capítulo 13	Vénulas poscapilares	¿Qué diámetro poseen las vénulas poscapilares?	10-50 µm.
Capítulo 13	Vénulas poscapilares	¿Poseen una túnica media verdadera?	No.
Capítulo 13	Vénulas poscapilares	¿Qué agentes vasoactivos actúan principalmente sobre su endotelio?	Histamina y serotonina.
Capítulo 13	Vénulas musculares	¿Qué diámetro poseen las vénulas musculares?	50-100 µm.
Capítulo 13	Vénulas musculares	¿Cuántas capas musculares posee una vénula muscular?	Una o dos.
Capítulo 13	Venas pequeñas	¿Qué diámetro poseen las venas pequeñas?	0.1-1 mm.
Capítulo 13	Venas pequeñas	¿Cuántas capas musculares suelen poseer?	Dos o tres.
Capítulo 13	Venas medianas	¿Qué diámetro posee una vena mediana?	1-10 mm.
Capítulo 13	Venas medianas	¿Qué fibras acompañan al músculo liso en la media?	Fibras colágenas y elásticas.
Capítulo 13	Venas medianas	¿Puede existir membrana elástica interna en una vena mediana?	Sí, en algunos casos.
Capítulo 13	Venas grandes	¿Cuántas capas musculares puede contener la media?	2-15 capas.
Capítulo 13	Venas grandes	¿Qué venas son ejemplos de venas grandes?	Cavas, porta y subclavias.
Capítulo 13	Venas grandes	¿Qué ritmo anómalo puede originarse en mangas miocárdicas venosas?	Fibrilación auricular.
Capítulo 13	Válvulas venosas	¿Qué forma tiene cada valva venosa?	Semilunar.
Capítulo 13	Válvulas venosas	¿Qué tejido forma el núcleo de una válvula venosa?	Tejido conjuntivo.
Capítulo 13	Válvulas venosas	¿Qué impiden las válvulas de las venas de los miembros inferiores?	El flujo retrógrado de la sangre.
Capítulo 13	Venas profundas	¿Qué lesión es frecuente en las venas profundas de los miembros inferiores?	La trombosis venosa profunda.
Capítulo 13	Vasos sanguíneos atípicos	¿Qué tipo arterial histológico son las coronarias?	Arterias musculares medianas.
Capítulo 13	Vasos sanguíneos atípicos	¿Qué cambio coronario aumenta con la edad?	Engrosamiento de la íntima.
Capítulo 13	Vasos sanguíneos atípicos	¿Qué tejido rodea externamente a un seno venoso dural?	Duramadre.
Capítulo 13	Vasos sanguíneos atípicos	¿Poseen músculo liso los senos venosos durales?	No.
Capítulo 13	Vasos sanguíneos atípicos	¿Dónde posee la vena safena magna haces musculares lisos longitudinales?	En la túnica íntima y la adventicia.
Capítulo 13	Vasos sanguíneos atípicos	¿Qué túnica de la vena central suprarrenal tiene músculo longitudinal prominente?	La túnica media.
Capítulo 13	Vasos linfáticos	¿Qué órgano filtra la linfa durante su trayecto?	El ganglio linfático.
Capítulo 13	Capilares linfáticos	¿Qué segunda proteína acompaña a fibrilina 1 en los filamentos de anclaje?	Emilina 1.
Capítulo 13	Capilares linfáticos	¿Qué mantienen los filamentos cuando aumenta la presión tisular?	La permeabilidad del capilar.
Capítulo 13	Conductos linfáticos	¿Qué dos conductos devuelven linfa al sistema venoso?	Torácico y linfático derecho.
Capítulo 13	Conductos linfáticos	¿Qué unión vascular forma el ángulo venoso?	Yugular interna con subclavia.
Capítulo 13	Vasos linfáticos mayores	¿Cómo es su lámina basal frente a la capilar linfática?	Continua.
Capítulo 13	Vasos linfáticos mayores	¿Qué uniones evitan la fuga de linfa?	Uniones estrechas continuas.
Capítulo 13	Vasos linfáticos mayores	¿Qué aumenta en la pared al crecer el calibre linfático?	El músculo liso.
Capítulo 13	Flujo linfático	¿Qué músculo externo comprime los vasos linfáticos?	El músculo esquelético.
Capítulo 13	Flujo linfático	¿Qué músculo propio también impulsa la linfa?	El músculo liso de la pared.
Capítulo 13	Ateroesclerosis	¿Qué lesión endotelial inicia el reclutamiento de monocitos?	La disfunción endotelial.
Capítulo 13	Ateroesclerosis	¿En qué célula se transforma un monocito dentro de la íntima?	En macrófago.
Capítulo 13	Ateroesclerosis	¿Qué célula vascular migra desde la media hacia la íntima?	La célula muscular lisa.
Capítulo 13	Ateroesclerosis	¿Qué matriz producen las células musculares de la placa?	Colágeno.
Capítulo 13	Ateroesclerosis	¿Qué capa cubre el núcleo lipídico de una placa?	La cubierta fibrosa.
Capítulo 13	Ateroesclerosis	¿Qué cristales dejan hendiduras en preparaciones histológicas?	Cristales de colesterol.
Capítulo 13	Ateroesclerosis	¿Qué evento puede desencadenar la rotura de una placa?	Trombosis.
Capítulo 13	Hipertensión	¿Qué presión diastólica persistente definía hipertensión en el texto?	Más de 80 mmHg.
Capítulo 13	Hipertensión	¿Qué presión sistólica persistente definía hipertensión en el texto?	Más de 130 mmHg.
Capítulo 13	Hipertensión	¿Qué pared ventricular se engrosa por sobrecarga sistémica?	La izquierda.
Capítulo 13	Hipertensión	¿Qué ocurre con el tamaño de los cardiomiocitos en hipertrofia?	Aumenta.
Capítulo 13	Coronariopatía	¿Qué significa isquemia miocárdica?	Aporte sanguíneo insuficiente al miocardio.
Capítulo 13	Coronariopatía	¿Qué síntoma típico produce la isquemia cardíaca transitoria?	Angina de pecho.
Capítulo 13	Coronariopatía	¿Qué componente sanguíneo puede ocluir una placa rota?	Un trombo.
Capítulo 13	Coronariopatía	¿Qué estructura reemplaza el área dañada tras un infarto?	Una cicatriz.
Capítulo 13	Coronariopatía	¿Qué función pierde el área infartada aun después de cicatrizar?	La función contráctil.
