chapter	subtopic	front	back
Capítulo 14	Inmunidad innata	¿Qué célula predomina al inicio de la respuesta inflamatoria?	El neutrófilo.
Capítulo 14	Inmunidad innata	¿Qué células siguen a los neutrófilos durante la inflamación?	Los monocitos, que se diferencian en macrófagos.
Capítulo 14	Inmunidad adaptativa	¿Qué dos propiedades aportan los linfocitos a la inmunidad adaptativa?	Especificidad y memoria inmunitaria.
Capítulo 14	Inmunidad adaptativa	¿Dónde ocurre el rearreglo del TCR?	En el timo.
Capítulo 14	Inmunidad adaptativa	¿Dónde ocurre el rearreglo del BCR?	En la médula ósea.
Capítulo 14	Inmunidad adaptativa	¿Dónde se activan los linfocitos B y T específicos?	En órganos y tejidos linfáticos secundarios.
Capítulo 14	Inmunidad humoral	¿Qué moléculas median la inmunidad humoral?	Los anticuerpos.
Capítulo 14	Inmunidad humoral	¿Cuál es la principal célula efectora de la inmunidad humoral?	El linfocito B.
Capítulo 14	Inmunidad humoral	¿En qué célula secretora se diferencia un linfocito B activado?	En célula plasmática.
Capítulo 14	Inmunidad humoral	¿Contra qué tipo de microorganismos predomina la inmunidad humoral?	Contra microorganismos extracelulares y sus toxinas.
Capítulo 14	Inmunidad humoral	¿Qué sistema proteico intensifica la acción de anticuerpos y macrófagos?	El sistema del complemento.
Capítulo 14	Inmunidad celular	¿Qué linfocitos ejecutan la inmunidad celular?	Los linfocitos T.
Capítulo 14	Inmunidad celular	¿Qué linfocito destruye directamente células infectadas?	El linfocito T CD8+ citotóxico.
Capítulo 14	Inmunidad celular	¿Los linfocitos T producen anticuerpos?	No.
Capítulo 14	Inmunidad celular	¿Qué moléculas presentan antígenos a los linfocitos T?	Las moléculas del MHC.
Capítulo 14	Inmunidad celular	¿Contra qué infecciones es especialmente importante la inmunidad celular?	Víricas, micóticas y micobacterianas.
Capítulo 14	Inmunidad celular	¿Qué respuesta frente a tejidos trasplantados depende de la inmunidad celular?	El rechazo del trasplante.
Capítulo 14	Células inmunitarias	¿Cuáles son los tres tipos principales de linfocitos?	T, B y NK.
Capítulo 14	Células de sostén inmunitario	¿Qué función inmunitaria comparten muchas células de sostén?	Presentar antígenos y regular respuestas inmunitarias.
Capítulo 14	Células de sostén inmunitario	¿Qué células forman la red estructural del timo?	Las células epiteliorreticulares.
Capítulo 14	Células de sostén inmunitario	¿Las células epiteliorreticulares producen fibras reticulares?	No.
Capítulo 14	Células de Langerhans	¿Dónde se localizan las células de Langerhans?	En el estrato espinoso de la epidermis.
Capítulo 14	Marcadores CD	¿Qué significa CD en inmunología?	Grupo de diferenciación.
Capítulo 14	Marcadores CD	¿Para qué se utilizan los marcadores CD?	Para identificar subtipos de células linfáticas o hematopoyéticas.
Capítulo 14	Marcadores CD	¿Qué método permite visualizar moléculas CD en tejidos?	La inmunohistoquímica con anticuerpos monoclonales.
Capítulo 14	Circulación linfocitaria	¿Qué porcentaje aproximado de linfocitos sanguíneos o linfáticos integra la reserva circulante?	Alrededor del 70%.
Capítulo 14	Circulación linfocitaria	¿Qué tipo de linfocito predomina en la reserva circulante de vida larga?	El linfocito T maduro.
Capítulo 14	Circulación linfocitaria	¿Qué hacen los linfocitos mientras permanecen en tejido linfático?	Vigilancia inmunitaria.
Capítulo 14	Circulación linfocitaria	¿Qué caracteriza al 30% de linfocitos que no recircula?	Son principalmente inmaduros o activados de vida corta con destino tisular específico.
Capítulo 14	Linfocitos T	¿Dónde se diferencian los linfocitos T?	En el timo.
Capítulo 14	Linfocitos T	¿Qué porcentaje de los linfocitos circulantes representan los linfocitos T?	60-80%.
Capítulo 14	Linfocitos T	¿Qué marcadores generales expresan los linfocitos T?	CD2, CD3, CD5 y CD7.
Capítulo 14	Linfocitos T	¿Qué receptor específico expresan los linfocitos T?	El TCR.
Capítulo 14	Linfocitos TH1	¿Qué citocinas producen principalmente los linfocitos TH1?	IFN-γ e IL-2.
Capítulo 14	Linfocitos TH1	¿Qué célula efectora activan los linfocitos TH1?	El macrófago.
Capítulo 14	Linfocitos TH1	¿Qué tipo de patógenos controlan principalmente los linfocitos TH1?	Patógenos intracelulares.
Capítulo 14	Linfocitos TH2	¿Qué citocinas producen los linfocitos TH2?	IL-4, IL-5, IL-10 e IL-13.
Capítulo 14	Linfocitos TH2	¿Qué células activan los linfocitos TH2?	Eosinófilos, mastocitos y linfocitos B.
Capítulo 14	Linfocitos TH2	¿Qué inmunoglobulina inducen los linfocitos TH2?	IgE.
Capítulo 14	Linfocitos TH2	¿Contra qué parásitos actúa principalmente la respuesta TH2?	Helmintos extracelulares.
Capítulo 14	Linfocitos TH17	¿Qué citocinas caracterizan a los linfocitos TH17?	IL-17 e IL-22.
Capítulo 14	Linfocitos TH17	¿Qué leucocito reclutan los linfocitos TH17?	El neutrófilo.
Capítulo 14	Linfocitos TH17	¿Contra qué patógenos actúan principalmente los linfocitos TH17?	Bacterias y hongos extracelulares.
Capítulo 14	Linfocitos TH17	¿Qué efecto tiene la IL-22 sobre el epitelio?	Aumenta péptidos antimicrobianos y apoya la barrera epitelial.
Capítulo 14	Linfocitos TH17	¿Qué síndrome se asocia con función deficiente de TH17?	Síndrome de Job.
Capítulo 14	Linfocitos T CD8+	¿Qué marcador define a los linfocitos T citotóxicos?	CD8.
Capítulo 14	Linfocitos T CD8+	¿Cómo matan los linfocitos T CD8+ a sus células diana?	Mediante proteínas citotóxicas que inducen apoptosis.
Capítulo 14	Linfocitos T CD8+	¿Qué tres proteínas citotóxicas contienen sus gránulos?	Granzimas, perforina y granulisina.
Capítulo 14	Linfocitos T CD8+	¿Qué células diana destruyen los linfocitos T CD8+?	Células infectadas, cancerosas o trasplantadas.
Capítulo 14	Linfocitos T reguladores	¿Qué función cumplen los linfocitos T reguladores?	Suprimen respuestas inmunitarias frente a antígenos propios o extraños.
Capítulo 14	Linfocitos T reguladores	¿Qué marcadores caracterizan al linfocito T regulador clásico?	CD4+, CD25+ y FOXP3+.
Capítulo 14	Linfocitos T reguladores	¿Qué tolerancia ayudan a mantener los linfocitos T reguladores?	La autotolerancia inmunitaria.
Capítulo 14	Linfocitos T γδ	¿Qué porcentaje aproximado de linfocitos T corresponde a los T γδ?	Menos del 5%.
Capítulo 14	Linfocitos T γδ	¿Qué cadenas forman el TCR de los linfocitos T γδ?	Una cadena γ y una cadena δ.
Capítulo 14	Linfocitos T γδ	¿Dónde se ubican estratégicamente los linfocitos T γδ?	En epitelios de interfase con el medio externo.
Capítulo 14	Linfocitos T γδ	¿Los linfocitos T γδ epiteliales recirculan?	No.
Capítulo 14	LITAM	¿Qué reconocen los linfocitos T invariables asociados con mucosas?	Metabolitos de la síntesis de riboflavina de hongos y bacterias.
Capítulo 14	LITAM	¿Qué molécula presenta metabolitos a los LITAM?	MR1.
Capítulo 14	LITAM	¿Qué citocinas inflamatorias secretan los LITAM activados?	IFN-γ y TNF-α.
Capítulo 14	LITAM	¿En qué órgano constituyen cerca del 50% de los linfocitos?	En el hígado.
Capítulo 14	Linfocitos B	¿Dónde se diferencian los linfocitos B en mamíferos?	En la médula ósea.
Capítulo 14	Linfocitos B	¿Qué tipo de inmunidad ejecutan los linfocitos B?	La inmunidad humoral.
Capítulo 14	Linfocitos B	¿Qué receptor de membrana fija antígenos específicos en el linfocito B?	El BCR.
Capítulo 14	Linfocitos B	¿Qué isotipo expresa el BCR del linfocito B inmaduro?	IgM.
Capítulo 14	Linfocitos B	¿Qué isotipos expresa el linfocito B maduro?	IgM e IgD.
Capítulo 14	Linfocitos B	¿Qué molécula de presentación antigénica expresa el linfocito B?	MHC II.
Capítulo 14	Linfocitos B	¿Qué marcadores CD menciona el texto para los linfocitos B?	CD9, CD19 y CD20.
Capítulo 14	Anticuerpos	¿Qué célula sintetiza anticuerpos?	La célula plasmática.
Capítulo 14	Anticuerpos	¿Cuántas cadenas pesadas y ligeras posee un anticuerpo?	Dos pesadas y dos ligeras.
Capítulo 14	Anticuerpos	¿Qué enlaces conectan las cadenas de un anticuerpo?	Enlaces disulfuro.
Capítulo 14	Anticuerpos	¿Qué fragmento aporta especificidad de unión al antígeno?	El fragmento Fab.
Capítulo 14	Anticuerpos	¿Qué fragmento cumple funciones efectoras?	El fragmento Fc.
Capítulo 14	Anticuerpos	¿Qué determina la clase de inmunoglobulina?	El tipo de cadena pesada.
Capítulo 14	Linfocitos NK	¿A qué tipo de inmunidad pertenecen los linfocitos NK?	A la inmunidad innata.
Capítulo 14	Linfocitos NK	¿Qué porcentaje de linfocitos circulantes representan los NK?	5-10%.
Capítulo 14	Linfocitos NK	¿Por qué se denominan linfocitos granulares grandes?	Porque son grandes y poseen gránulos citoplasmáticos.
Capítulo 14	Linfocitos NK	¿Maduran los linfocitos NK en el timo?	No.
Capítulo 14	Linfocitos NK	¿Expresan TCR los linfocitos NK?	No.
Capítulo 14	Linfocitos NK	¿Qué liberan los NK para destruir células diana?	Perforinas y granzimas.
Capítulo 14	Linfocitos NK	¿Qué efecto final producen los NK en la célula diana?	Apoptosis o lisis.
Capítulo 14	Linfocitos NK	¿Qué marcadores específicos expresan los linfocitos NK?	CD16a, CD56 y CD94.
Capítulo 14	Diferenciación linfocitaria	¿En qué órganos ocurre la diferenciación independiente de antígeno?	En los órganos linfáticos primarios.
Capítulo 14	Diferenciación linfocitaria	¿En qué órganos ocurre la activación dependiente de antígeno?	En los órganos linfáticos secundarios.
Capítulo 14	Diferenciación linfocitaria	¿En qué se convierten los linfocitos vírgenes tras activación antigénica?	En linfocitos efectores y de memoria.
