chapter	subtopic	front	back
Capítulo 13	Organización del corazón	¿Qué separa los ventrículos derecho e izquierdo?	El tabique interventricular.
Capítulo 13	Flujo cardíaco	¿Qué vasos llevan sangre desoxigenada a la aurícula derecha?	Las venas cavas.
Capítulo 13	Flujo cardíaco	¿A qué cavidad pasa la sangre desde la aurícula derecha?	Al ventrículo derecho.
Capítulo 13	Flujo cardíaco	¿Qué vaso recibe sangre del ventrículo derecho?	El tronco pulmonar.
Capítulo 13	Flujo cardíaco	¿Qué vasos llevan sangre oxigenada a la aurícula izquierda?	Las venas pulmonares.
Capítulo 13	Flujo cardíaco	¿A qué cavidad pasa la sangre desde la aurícula izquierda?	Al ventrículo izquierdo.
Capítulo 13	Flujo cardíaco	¿Qué vaso recibe sangre del ventrículo izquierdo?	La aorta.
Capítulo 13	Esqueleto fibroso cardíaco	¿Qué tejido forma principalmente el esqueleto fibroso cardíaco?	Tejido conjuntivo denso irregular.
Capítulo 13	Esqueleto fibroso cardíaco	¿Dónde se insertan las valvas cardíacas?	En los anillos fibrosos.
Capítulo 13	Esqueleto fibroso cardíaco	¿Qué función eléctrica tiene el esqueleto fibroso?	Aísla aurículas de ventrículos.
Capítulo 13	Esqueleto fibroso cardíaco	¿Qué estructura atraviesa el aislamiento fibroso auriculoventricular?	El haz auriculoventricular.
Capítulo 13	Vasos coronarios	¿Qué arterias irrigan el corazón?	Las arterias coronarias.
Capítulo 13	Vasos coronarios	¿Dónde se originan las arterias coronarias?	En la aorta ascendente.
Capítulo 13	Vasos coronarios	¿Dónde se localizan vasos coronarios grandes en la pared cardíaca?	En el epicardio.
Capítulo 13	Pared cardíaca	¿Cuáles son las tres capas de la pared cardíaca, de fuera adentro?	Epicardio, miocardio y endocardio.
Capítulo 13	Epicardio	¿Qué otro nombre recibe el epicardio?	Capa visceral del pericardio seroso.
Capítulo 13	Epicardio	¿Qué epitelio reviste la superficie del epicardio?	Mesotelio.
Capítulo 13	Epicardio	¿Qué tejidos acompañan al mesotelio del epicardio?	Tejido conjuntivo y adiposo.
Capítulo 13	Miocardio	¿Qué tejido forma el miocardio?	Músculo cardíaco.
Capítulo 13	Miocardio	¿Cuál es la capa más gruesa de la pared cardíaca?	El miocardio.
Capítulo 13	Miocardio	¿Por qué el miocardio ventricular es más grueso que el auricular?	Porque bombea contra mayor presión.
Capítulo 13	Miocardio	¿Qué ventrículo tiene el miocardio más grueso?	El ventrículo izquierdo.
Capítulo 13	Endocardio	¿Qué epitelio reviste el endocardio?	Endotelio.
Capítulo 13	Endocardio	¿Qué capa endocárdica contiene fibras de Purkinje?	La capa subendocárdica.
Capítulo 13	Endocardio	¿Con qué túnica vascular se continúa el endocardio?	Con la túnica íntima.
Capítulo 13	Pericardio	¿Qué espacio contiene una pequeña cantidad de líquido seroso alrededor del corazón?	La cavidad pericárdica.
Capítulo 13	Pericardio	¿Qué dos clases de líquido pueden acumularse en la cavidad pericárdica?	Sangre o derrame pericárdico.
Capítulo 13	Válvulas cardíacas	¿Qué tejido constituye el armazón de las válvulas cardíacas?	Tejido conjuntivo denso.
Capítulo 13	Válvulas cardíacas	¿Cómo son, por lo general, las valvas respecto a su vascularización?	Avasculares; puede haber pequeños vasos en la base de las válvulas mitral y tricúspide.
Capítulo 13	Válvulas cardíacas	¿Cómo reciben nutrientes las valvas cardíacas?	Por difusión desde la sangre.
Capítulo 13	Válvulas cardíacas	¿Cuáles son las tres capas de una valva cardíaca?	Fibrosa, esponjosa y ventricular o auricular.
Capítulo 13	Fibrosa valvular	¿Qué capa valvular contiene colágeno denso continuo con el esqueleto fibroso?	La fibrosa.
Capítulo 13	Fibrosa valvular	¿Qué función principal tiene la fibrosa valvular?	Brindar rigidez a la valva.
Capítulo 13	Esponjosa valvular	¿Qué capa constituye la región laxa central de una valva?	La esponjosa.
Capítulo 13	Esponjosa valvular	¿Qué componente abunda en la esponjosa valvular?	Proteoglucanos.
Capítulo 13	Esponjosa valvular	¿Qué función mecánica tiene la esponjosa?	Amortiguar vibraciones.
Capítulo 13	Ventricular valvular	¿Qué capa valvular es rica en fibras elásticas?	La ventricular o auricular.
Capítulo 13	Cuerdas tendinosas	¿Qué estructuras unen válvulas AV con músculos papilares?	Las cuerdas tendinosas.
Capítulo 13	Cuerdas tendinosas	¿Qué transmiten las cuerdas tendinosas desde los músculos papilares?	Fuerza hacia la valva sin deformarla.
Capítulo 13	Sistema de conducción cardíaco	¿Qué células forman el sistema de conducción cardíaco?	Cardiomiocitos modificados.
Capítulo 13	Sistema de conducción cardíaco	¿Qué función tiene el sistema de conducción?	Iniciar y propagar despolarizaciones rítmicas.
Capítulo 13	Nodo sinoauricular	¿Cuál es el marcapasos normal del corazón?	El nodo sinoauricular.
Capítulo 13	Nodo sinoauricular	¿Dónde se inicia normalmente cada latido cardíaco?	En el nodo sinoauricular.
Capítulo 13	Nodo auriculoventricular	¿Qué nodo recibe el impulso después de propagarse por las aurículas?	El nodo auriculoventricular.
Capítulo 13	Haz auriculoventricular	¿Qué estructura conduce el impulso desde el nodo AV hacia los ventrículos?	El haz de His.
Capítulo 13	Fibras de Purkinje	¿Qué células distribuyen rápidamente el impulso por el miocardio ventricular?	Las fibras de Purkinje.
Capítulo 13	Fibras de Purkinje	¿Dónde se localizan las fibras de Purkinje?	En la capa subendocárdica.
Capítulo 13	Fibras de Purkinje	¿Por qué las fibras de Purkinje se ven pálidas con H&E?	Por su abundante glucógeno.
Capítulo 13	Fibras de Purkinje	¿Cómo se distribuyen las miofibrillas en las fibras de Purkinje?	En la periferia celular.
Capítulo 13	Regulación cardíaca	¿Qué división autónoma aumenta la frecuencia cardíaca?	La simpática.
Capítulo 13	Regulación cardíaca	¿Qué división autónoma disminuye la frecuencia cardíaca?	La parasimpática.
Capítulo 13	Regulación cardíaca	¿Qué catecolaminas circulantes aumentan la frecuencia cardíaca?	Adrenalina y noradrenalina.
Capítulo 13	Receptores cardiovasculares	¿Qué receptores detectan la presión arterial?	Los barorreceptores.
Capítulo 13	Receptores cardiovasculares	¿Qué receptores detectan cambios en el volumen sanguíneo?	Los receptores de volumen.
Capítulo 13	Receptores cardiovasculares	¿Qué receptores detectan cambios de oxígeno, CO₂ y pH?	Los quimiorreceptores.
Capítulo 13	Túnicas vasculares	¿Cuántas túnicas forman la pared de arterias y venas?	Tres.
Capítulo 13	Túnicas vasculares	¿Cuál es la túnica vascular más interna?	La túnica íntima.
Capítulo 13	Túnicas vasculares	¿Cuál es la túnica vascular intermedia?	La túnica media.
Capítulo 13	Túnicas vasculares	¿Cuál es la túnica vascular más externa?	La túnica adventicia.
Capítulo 13	Túnica íntima	¿Qué epitelio forma la superficie luminal de la túnica íntima?	Endotelio.
Capítulo 13	Túnica íntima	¿Qué tejido se encuentra debajo del endotelio?	Tejido conjuntivo subendotelial.
Capítulo 13	Túnica íntima	¿Qué lámina marca frecuentemente el límite externo de la íntima arterial?	La membrana elástica interna.
Capítulo 13	Túnica media	¿Qué célula predomina en la túnica media?	La célula muscular lisa.
Capítulo 13	Túnica media	¿Cómo se orienta el músculo liso de la túnica media?	Circunferencialmente.
Capítulo 13	Túnica media	¿En qué vasos es relativamente gruesa la túnica media?	En las arterias.
Capítulo 13	Túnica adventicia	¿Qué tejido predomina en la túnica adventicia?	Tejido conjuntivo colágeno.
Capítulo 13	Túnica adventicia	¿Qué pequeños vasos nutren las paredes de vasos grandes?	Los vasa vasorum.
Capítulo 13	Túnica adventicia	¿Qué nervios regulan el músculo liso vascular?	Los nervi vasorum.
Capítulo 13	Vasa vasorum	¿Desde dónde nutren los vasa vasorum la pared vascular?	Desde la adventicia.
Capítulo 13	Vasa vasorum	¿Cómo se nutre la porción interna de una pared vascular?	Por difusión desde la luz.
Capítulo 13	Endotelio vascular	¿Qué tipo de epitelio forma el endotelio vascular?	Epitelio plano simple.
Capítulo 13	Endotelio vascular	¿Qué barrera forma el endotelio entre sangre y tejidos?	Una barrera selectivamente permeable.
Capítulo 13	Endotelio vascular	¿Qué propiedad superficial evita la coagulación en un vaso sano?	La propiedad antitrombótica del endotelio.
Capítulo 13	Endotelio vascular	¿Qué molécula endotelial produce vasodilatación?	Óxido nítrico.
Capítulo 13	Endotelio vascular	¿Qué péptido endotelial produce vasoconstricción potente?	Endotelina 1.
Capítulo 13	Endotelio vascular	¿Qué orgánulos endoteliales almacenan factor de von Willebrand?	Los cuerpos de Weibel-Palade.
Capítulo 13	Endotelio vascular	¿Qué molécula adhesiva almacenan los cuerpos de Weibel-Palade?	Selectina P.
Capítulo 13	Óxido nítrico	¿Qué enzima endotelial sintetiza óxido nítrico?	eNOS.
Capítulo 13	Óxido nítrico	¿Sobre qué célula actúa el NO vascular?	Sobre la célula muscular lisa.
Capítulo 13	Óxido nítrico	¿Qué efecto tiene el NO sobre el músculo liso vascular?	Lo relaja.
Capítulo 13	Óxido nítrico	¿Qué efecto tiene el NO sobre la agregación plaquetaria?	La inhibe.
Capítulo 13	Endotelina	¿Qué efecto tiene la endotelina 1 sobre un vaso?	Vasoconstricción.
Capítulo 13	Clasificación arterial	¿Cuáles son los tres tipos principales de arterias?	Elásticas, musculares y pequeñas o arteriolas.
Capítulo 13	Clasificación arterial	¿Qué criterio histológico distingue los tipos arteriales?	La estructura de la túnica media.
Capítulo 13	Arterias elásticas	¿Qué ejemplo principal representa una arteria elástica?	La aorta.
Capítulo 13	Arterias elásticas	¿Qué componente abunda en la media de las arterias elásticas?	Laminillas elásticas fenestradas.
Capítulo 13	Arterias elásticas	¿Qué células se intercalan entre las laminillas elásticas?	Células musculares lisas.
Capítulo 13	Arterias elásticas	¿Qué función tienen las arterias elásticas durante la sístole?	Se distienden.
Capítulo 13	Arterias elásticas	¿Qué función tienen las arterias elásticas durante la diástole?	Mantienen el flujo por retroceso elástico.
Capítulo 13	Arterias elásticas	¿Hay fibroblastos en la túnica media de una arteria elástica?	No.
Capítulo 13	Arterias musculares	¿Qué arterias distribuyen sangre hacia órganos específicos?	Las arterias musculares.
Capítulo 13	Arterias musculares	¿Qué célula predomina en la media de una arteria muscular?	La célula muscular lisa.
Capítulo 13	Arterias musculares	¿Qué membrana suele ser prominente en una arteria muscular?	La membrana elástica interna.
Capítulo 13	Arterias musculares	¿Cómo se compara la cantidad de elastina con una arteria elástica?	Es menor.
Capítulo 13	Arterias pequeñas	¿Cuántas capas musculares puede tener una arteria pequeña?	Hasta ocho capas.
Capítulo 13	Arteriolas	¿Cuántas capas de músculo liso tiene una arteriola?	Una o dos.
Capítulo 13	Arteriolas	¿Qué vasos son los principales reguladores de la resistencia vascular?	Las arteriolas.
Capítulo 13	Arteriolas	¿Qué efecto tiene la contracción arteriolar sobre el flujo capilar?	Lo disminuye.
Capítulo 13	Arteriolas	¿Qué efecto tiene la dilatación arteriolar sobre el flujo capilar?	Lo aumenta.
Capítulo 13	Arteriolas	¿Qué túnica domina la pared de una arteriola?	La túnica media.
Capítulo 13	Anastomosis arteriovenosas	¿Qué comunica directamente una anastomosis arteriovenosa?	Una arteria con una vena.
Capítulo 13	Anastomosis arteriovenosas	¿Qué estructura omite la sangre al pasar por una anastomosis arteriovenosa?	El lecho capilar.
Capítulo 13	Anastomosis arteriovenosas	¿En qué órgano son frecuentes las anastomosis AV para termorregulación?	En la piel.
Capítulo 13	Capilares	¿Cuáles son los vasos sanguíneos de menor diámetro?	Los capilares.
Capítulo 13	Capilares	¿Qué célula constituye la pared capilar básica?	La célula endotelial.
Capítulo 13	Capilares	¿Cuántas capas celulares tiene la pared de un capilar?	Una capa endotelial.
Capítulo 13	Capilares	¿Qué función permite la pared delgada capilar?	Intercambio entre sangre y tejidos.
Capítulo 13	Clasificación capilar	¿Cuáles son los tres tipos de capilares?	Continuos, fenestrados y discontinuos.
Capítulo 13	Capilares continuos	¿Qué caracteriza al endotelio de un capilar continuo?	Es ininterrumpido.
Capítulo 13	Capilares continuos	¿Cómo es la lámina basal de un capilar continuo?	Continua.
Capítulo 13	Capilares continuos	¿Qué tipo de capilar se encuentra en el sistema nervioso central?	El capilar continuo.
Capítulo 13	Capilares continuos	¿Qué órganos musculares poseen capilares continuos?	Músculo cardíaco y esquelético.
Capítulo 13	Capilares fenestrados	¿Qué caracteriza al endotelio de un capilar fenestrado?	Posee numerosas fenestras.
Capítulo 13	Capilares fenestrados	¿Cómo es la lámina basal de un capilar fenestrado?	Continua.
Capítulo 13	Capilares fenestrados	¿Qué órganos de intercambio intenso suelen tener capilares fenestrados?	Glándulas endocrinas, intestino y riñón.
Capítulo 13	Capilares discontinuos	¿Qué otro nombre recibe un capilar discontinuo?	Sinusoide.
Capítulo 13	Capilares discontinuos	¿Cómo es la lámina basal de un sinusoide?	Discontinua.
Capítulo 13	Capilares discontinuos	¿Cómo son los espacios intercelulares de un sinusoide?	Amplios e irregulares.
Capítulo 13	Capilares discontinuos	¿Qué órgano hematopoyético posee sinusoides?	La médula ósea.
Capítulo 13	Capilares discontinuos	¿Qué órgano metabólico posee sinusoides?	El hígado.
Capítulo 13	Pericitos	¿Dónde se localizan los pericitos?	Alrededor de capilares y vénulas poscapilares.
Capítulo 13	Pericitos	¿Qué lámina basal comparten los pericitos con el endotelio?	La lámina basal endotelial.
Capítulo 13	Pericitos	¿Qué capacidad mecánica poseen los pericitos?	Capacidad contráctil.
Capítulo 13	Pericitos	¿Qué potencial de diferenciación tienen los pericitos?	Potencial de célula madre mesenquimatosa.
Capítulo 13	Intercambio capilar	¿Qué ocurre con el líquido plasmático cuando aumenta la presión capilar?	Es impulsado hacia el tejido.
Capítulo 13	Intercambio capilar	¿Qué ocurre con la absorción de líquido tisular cuando disminuye la presión capilar?	Aumenta.
Capítulo 13	Intercambio capilar	¿Qué sistema recoge el exceso de líquido intersticial?	El sistema linfático.
Capítulo 13	Clasificación venosa	¿Cuáles son los cuatro tipos de venas por diámetro?	Vénulas, pequeñas, medianas y grandes.
Capítulo 13	Vénulas poscapilares	¿Qué vaso recibe directamente la sangre de los capilares?	La vénula poscapilar.
Capítulo 13	Vénulas poscapilares	¿Cuál es el sitio principal de extravasación leucocitaria?	La vénula poscapilar.
Capítulo 13	Vénulas poscapilares	¿Qué células rodean el endotelio de una vénula poscapilar?	Pericitos.
Capítulo 13	Vénulas de endotelio alto	¿Dónde se encuentran vénulas de endotelio alto?	En tejidos linfáticos.
Capítulo 13	Vénulas de endotelio alto	¿Qué proceso facilitan las vénulas de endotelio alto?	La migración de linfocitos.
Capítulo 13	Venas pequeñas	¿De qué vasos son continuación las venas pequeñas?	De las vénulas musculares.
Capítulo 13	Venas medianas	¿Qué túnica suele ser la más gruesa en una vena mediana?	La túnica adventicia.
Capítulo 13	Venas medianas	¿Cómo es la media venosa frente a la de una arteria acompañante?	Más delgada.
Capítulo 13	Venas medianas	¿Qué estructura evita el reflujo en muchas venas medianas?	Las válvulas venosas.
Capítulo 13	Válvulas venosas	¿De qué túnica son evaginaciones las válvulas venosas?	De la túnica íntima.
Capítulo 13	Válvulas venosas	¿Dónde son especialmente frecuentes las válvulas venosas?	En las extremidades inferiores.
Capítulo 13	Venas grandes	¿Qué diámetro define habitualmente una vena grande?	Más de 10 mm.
Capítulo 13	Venas grandes	¿Qué túnica domina la pared de una vena grande?	La túnica adventicia.
Capítulo 13	Venas grandes	¿Cómo se orienta el músculo liso de la adventicia en venas grandes?	Longitudinalmente.
Capítulo 13	Venas grandes	¿Qué venas cercanas al corazón pueden contener mangas miocárdicas?	Las venas grandes.
Capítulo 13	Comparación arteria-vena	¿Qué vaso suele tener la pared más gruesa: arteria o vena?	La arteria.
Capítulo 13	Comparación arteria-vena	¿Qué vaso suele tener la luz más grande e irregular: arteria o vena?	La vena.
Capítulo 13	Comparación arteria-vena	¿Qué túnica predomina en una arteria muscular?	La túnica media.
Capítulo 13	Comparación arteria-vena	¿Qué túnica predomina en una vena mediana?	La túnica adventicia.
Capítulo 13	Vasos sanguíneos atípicos	¿Por qué son atípicas las arterias coronarias?	Su íntima varía con la edad y la ateroesclerosis.
Capítulo 13	Vasos sanguíneos atípicos	¿Qué rasgo distingue a los senos venosos durales?	Carecen de túnica media.
Capítulo 13	Vasos sanguíneos atípicos	¿Dónde se localizan los senos venosos durales?	En la duramadre.
Capítulo 13	Vasos sanguíneos atípicos	¿Qué vena superficial tiene una media muscular bien desarrollada?	La vena safena magna.
Capítulo 13	Vasos sanguíneos atípicos	¿Qué orientación muscular destaca en la vena central suprarrenal?	Longitudinal.
Capítulo 13	Vasos linfáticos	¿Qué líquido transportan los vasos linfáticos?	Linfa.
Capítulo 13	Vasos linfáticos	¿En qué dirección general transportan líquido los vasos linfáticos?	Desde los tejidos hacia la sangre.
Capítulo 13	Capilares linfáticos	¿Cómo comienza un capilar linfático en el tejido?	Como un fondo ciego.
Capítulo 13	Capilares linfáticos	¿Cómo es la permeabilidad de un capilar linfático frente a uno sanguíneo?	Mayor.
Capítulo 13	Capilares linfáticos	¿Cómo es la lámina basal de un capilar linfático?	Incompleta; no es continua.
Capítulo 13	Capilares linfáticos	¿Qué fija el endotelio linfático al tejido circundante?	Filamentos de anclaje.
Capítulo 13	Capilares linfáticos	¿Qué proteína forma los filamentos de anclaje linfáticos?	Fibrilina.
Capítulo 13	Capilares linfáticos	¿Qué materiales recogen o transportan eficazmente los capilares linfáticos?	Líquido rico en proteínas y lípidos de la dieta.
Capítulo 13	Conductos linfáticos	¿Qué conducto linfático drena la mayor parte del cuerpo?	El conducto torácico.
Capítulo 13	Conductos linfáticos	¿Dónde desemboca el conducto torácico?	En el ángulo venoso izquierdo.
Capítulo 13	Conductos linfáticos	¿Cuál es el otro conducto principal además del conducto torácico?	El conducto linfático derecho.
Capítulo 13	Flujo linfático	¿Qué estructuras impiden el reflujo de linfa?	Las válvulas linfáticas.
Capítulo 13	Flujo linfático	¿Tiene el sistema linfático una bomba central?	No.
Capítulo 13	Flujo linfático	¿Qué mecanismo externo ayuda principalmente a impulsar la linfa?	La compresión de los vasos linfáticos por el músculo esquelético.
Capítulo 13	Ateroesclerosis	¿En qué túnica se inicia una placa ateromatosa?	En la túnica íntima.
Capítulo 13	Ateroesclerosis	¿Qué célula cargada de lípidos caracteriza una placa ateromatosa?	La célula espumosa.
Capítulo 13	Ateroesclerosis	¿De qué célula derivan muchas células espumosas?	De macrófagos.
Capítulo 13	Ateroesclerosis	¿Qué lipoproteína modificada favorece la formación de células espumosas?	LDL oxidada.
Capítulo 13	Hipertensión	¿Qué adaptación cardíaca puede producir la hipertensión sistémica crónica?	Hipertrofia ventricular izquierda.
Capítulo 13	Hipertensión	¿Qué tipo de sobrecarga produce la hipertensión sistémica en el ventrículo izquierdo?	Sobrecarga de presión.
Capítulo 13	Coronariopatía	¿Cuál es la causa más frecuente de cardiopatía isquémica?	La ateroesclerosis coronaria.
Capítulo 13	Coronariopatía	¿Qué ocurre si una placa coronaria reduce críticamente el flujo?	Isquemia miocárdica.
Capítulo 13	Coronariopatía	¿Qué lesión produce la muerte de cardiomiocitos por isquemia prolongada?	Infarto de miocardio.
Capítulo 13	Coronariopatía	¿Qué propiedad pierde el área de un infarto?	La función contráctil.
