chapter	subtopic	front	back
Capítulo 14	Inmunoglobulinas	¿Qué porcentaje de las inmunoglobulinas séricas corresponde a IgD?	Menos del 1%.
Capítulo 14	Inmunoglobulinas	¿Cuál es la función principal de la IgD?	Actuar como BCR junto con IgM.
Capítulo 14	Inmunoglobulinas	¿Cuál es la masa molecular aproximada de la IgE?	190 kDa.
Capítulo 14	Inmunoglobulinas	¿Cuál es la concentración sérica aproximada de IgE?	3 × 10⁻⁵ mg/mL.
Capítulo 14	Inmunoglobulinas	¿Qué porcentaje de las inmunoglobulinas séricas corresponde a IgE?	Menos del 1%.
Capítulo 14	Inmunoglobulinas	¿A qué células se une la IgE?	A mastocitos y basófilos.
Capítulo 14	Inmunoglobulinas	¿Qué hipersensibilidad media la IgE?	La hipersensibilidad inmediata o tipo I.
Capítulo 14	Inmunoglobulinas	¿Qué inmunoglobulina aumenta en las parasitosis?	La IgE.
Capítulo 14	Respuesta primaria y secundaria	¿Cómo es el período de latencia de la respuesta inmunitaria primaria?	Dura varios días.
Capítulo 14	Respuesta primaria y secundaria	¿Por qué la respuesta primaria tiene un período de latencia?	Porque al inicio hay pocos linfocitos B específicos para el antígeno.
Capítulo 14	Respuesta primaria y secundaria	¿Qué células duraderas se originan durante la respuesta primaria?	Linfocitos B de memoria.
Capítulo 14	Respuesta primaria y secundaria	¿Cómo se compara la respuesta secundaria con la primaria?	Es más rápida e intensa.
Capítulo 14	Respuesta primaria y secundaria	¿Qué fundamento inmunológico aprovechan las vacunas?	La memoria y la respuesta secundaria.
Capítulo 14	Hipersensibilidad tipo I	¿Cuánto tarda en aparecer una reacción de hipersensibilidad tipo I?	Entre 15 y 30 minutos tras la exposición.
Capítulo 14	Hipersensibilidad tipo I	¿Qué desencadena la degranulación en la hipersensibilidad tipo I?	La unión del antígeno a IgE fijada en mastocitos o basófilos.
Capítulo 14	Hipersensibilidad tipo I	¿Qué amina preformada liberan los mastocitos en la hipersensibilidad tipo I?	Histamina.
Capítulo 14	Hipersensibilidad tipo I	¿Qué mediadores lipídicos recién sintetizados participan en la hipersensibilidad tipo I?	Leucotrienos.
Capítulo 14	Hipersensibilidad tipo I	¿Qué célula ayuda a neutralizar mediadores de la hipersensibilidad tipo I?	El eosinófilo.
Capítulo 14	Hipersensibilidad tipo I	¿Qué mediador amplifica la agregación plaquetaria en la reacción inmediata?	El factor activador de plaquetas.
Capítulo 14	Hipersensibilidad tipo I	¿Qué fármacos bloquean los efectos de la histamina?	Los antihistamínicos.
Capítulo 14	MHC	¿En qué cromosoma se localizan los genes del MHC humano?	En el cromosoma 6.
Capítulo 14	MHC	¿Qué células expresan MHC I?	Todas las células nucleadas y las plaquetas.
Capítulo 14	MHC	¿Qué origen tienen los péptidos presentados por MHC I?	Endógeno o citosólico.
Capítulo 14	MHC	¿Cuántos aminoácidos suelen tener los péptidos presentados por MHC I?	8-10 aminoácidos.
Capítulo 14	MHC	¿Qué linfocito reconoce antígenos presentados por MHC I?	El linfocito T CD8⁺.
Capítulo 14	MHC	¿Qué cadenas forman la molécula de MHC I?	Una cadena α pesada y β₂-microglobulina.
Capítulo 14	MHC	¿Cuál es la masa aproximada de la cadena α del MHC I?	45 kDa.
Capítulo 14	MHC	¿Cuál es la masa aproximada de la β₂-microglobulina del MHC I?	12 kDa.
Capítulo 14	MHC	¿Qué células expresan MHC II?	Las células presentadoras de antígenos.
Capítulo 14	MHC	¿Qué origen tienen los péptidos presentados por MHC II?	Exógeno y endocitado.
Capítulo 14	MHC	¿Cuántos aminoácidos suelen tener los péptidos presentados por MHC II?	18-20 aminoácidos.
Capítulo 14	MHC	¿Qué linfocito reconoce antígenos presentados por MHC II?	El linfocito T CD4⁺.
Capítulo 14	MHC	¿Qué cadenas forman la molécula de MHC II?	Una cadena α y una cadena β.
Capítulo 14	MHC	¿Cuál es la masa aproximada de la cadena α del MHC II?	33 kDa.
Capítulo 14	MHC	¿Cuál es la masa aproximada de la cadena β del MHC II?	29 kDa.
Capítulo 14	Procesamiento antigénico	¿Qué complejo degrada proteínas citosólicas para presentarlas por MHC I?	El proteasoma.
Capítulo 14	Procesamiento antigénico	¿Dónde se une el péptido a la molécula de MHC I?	En el retículo endoplasmático rugoso.
Capítulo 14	Procesamiento antigénico	¿Qué cadena bloquea temporalmente el surco del MHC II?	La cadena invariante.
Capítulo 14	Procesamiento antigénico	¿Dónde se cargan los péptidos exógenos en MHC II?	En compartimentos endosómicos.
Capítulo 14	Activación de linfocitos T	¿Cuál es la primera señal para activar un linfocito T?	La unión de TCR-CD3 al complejo péptido-MHC.
Capítulo 14	Activación de linfocitos T	¿Qué molécula del linfocito T aporta la coestimulación principal?	CD28.
Capítulo 14	Activación de linfocitos T	¿Con qué moléculas de la APC interactúa CD28?	Con B7, es decir, CD80 o CD86.
Capítulo 14	Activación de linfocitos T	¿Qué ocurre si el linfocito T recibe señal antigénica sin coestimulación?	Entra en anergia.
Capítulo 14	Activación de linfocitos T	¿Qué molécula inhibidora compite con CD28 por B7?	CTLA-4.
Capítulo 14	Activación de linfocitos T	¿Qué función tiene CD3 en el complejo del TCR?	Transducir la señal hacia el interior celular.
Capítulo 14	Activación de linfocitos T	¿Qué molécula restringe al linfocito T citotóxico al MHC I?	CD8.
Capítulo 14	Activación de linfocitos T	¿Qué molécula restringe al linfocito T cooperador al MHC II?	CD4.
Capítulo 14	Activación de linfocitos T	¿Qué citocina es el principal factor de proliferación de linfocitos T?	IL-2.
Capítulo 14	Citotoxicidad T	¿Qué proteína del linfocito T citotóxico forma poros en la célula diana?	La perforina.
Capítulo 14	Citotoxicidad T	¿Qué enzimas ingresan por los poros y activan caspasas?	Las granzimas.
Capítulo 14	Citotoxicidad T	¿Qué muerte celular producen las granzimas?	Apoptosis.
Capítulo 14	Citotoxicidad T	¿Qué ocurre con la mayoría de los linfocitos T efectores tras eliminar el antígeno?	Mueren por apoptosis.
Capítulo 14	Citotoxicidad T	¿Qué fracción persiste tras una respuesta de linfocitos T?	Los linfocitos T de memoria.
Capítulo 14	Activación de linfocitos B	¿Qué interacción de superficie coopera en la activación del linfocito B?	CD40 del linfocito B con CD40L del linfocito T cooperador.
Capítulo 14	Activación de linfocitos B	¿En qué células efectoras se diferencian los linfocitos B activados?	En células plasmáticas.
Capítulo 14	Activación de linfocitos B	¿Qué células B permiten una respuesta posterior más rápida?	Los linfocitos B de memoria.
Capítulo 14	Citocinas	¿Cómo actúa una citocina de modo autocrino?	Sobre la misma célula que la secretó.
Capítulo 14	Citocinas	¿Cómo actúa una citocina de modo paracrino?	Sobre células cercanas.
Capítulo 14	Interleucinas	¿Qué efectos principales tiene IL-1?	Promueve inflamación, fiebre y activación de linfocitos T y B.
Capítulo 14	Interleucinas	¿Qué efecto principal tiene IL-2?	Estimula proliferación y diferenciación de linfocitos T.
Capítulo 14	Interleucinas	¿Sobre qué progenitores actúa IL-3?	Sobre células madre hematopoyéticas tempranas.
Capítulo 14	Interleucinas	¿Qué inmunoglobulinas favorece IL-4?	IgE e IgG.
Capítulo 14	Interleucinas	¿Qué leucocito estimula especialmente IL-5?	El eosinófilo.
Capítulo 14	Interleucinas	¿Qué clase de inmunoglobulina favorece IL-5?	IgA.
Capítulo 14	Interleucinas	¿Qué papel tiene IL-6 en los linfocitos B?	Estimula su crecimiento y diferenciación.
Capítulo 14	Interleucinas	¿Qué subtipo T favorece IL-6?	Los linfocitos TH17.
Capítulo 14	Interleucinas	¿Sobre qué progenitores actúa IL-7?	Sobre progenitores de linfocitos B y T.
Capítulo 14	Interleucinas	¿Qué células atrae principalmente IL-8?	Neutrófilos.
Capítulo 14	Interleucinas	¿Qué células favorece IL-9?	Mastocitos y linfocitos TH2.
Capítulo 14	Interleucinas	¿Qué citocina inhibe la producción de citocinas por linfocitos T y macrófagos?	IL-10.
Capítulo 14	Interleucinas	¿Qué linaje estimula IL-11?	Los megacariocitos.
Capítulo 14	Interleucinas	¿Qué células activa IL-12?	Linfocitos NK, TH1 y CD8⁺.
Capítulo 14	Interleucinas	¿Qué respuesta favorece IL-13?	La respuesta TH2 y la producción de IgE.
Capítulo 14	Interleucinas	¿Qué efecto tiene IL-14?	Estimula la proliferación de linfocitos B.
Capítulo 14	Interleucinas	¿Qué linfocitos estimula IL-15?	Los linfocitos CD8⁺.
Capítulo 14	Interleucinas	¿Qué células atrae IL-16?	Linfocitos CD8⁺, monocitos y eosinófilos.
Capítulo 14	Interleucinas	¿Sobre qué células actúa IL-17 para inducir citocinas?	Sobre endotelio y fibroblastos.
Capítulo 14	Interleucinas	¿Qué citocina favorece IFN-γ en linfocitos T y NK?	IL-18.
Capítulo 14	Interleucinas	¿Qué células producen principalmente IL-19?	Los monocitos.
Capítulo 14	Interleucinas	¿Qué diferenciación favorece IL-20?	La diferenciación TH2.
Capítulo 14	Inmunosupresores	¿Qué fármaco inmunosupresor inhibe la activación de linfocitos T al bloquear calcineurina?	La ciclosporina.
Capítulo 14	Inmunosupresores	¿Qué otro inhibidor de calcineurina menciona el texto?	El tacrolimús.
Capítulo 14	Inmunosupresores	¿Qué inmunosupresor inhibe la respuesta a IL-2 mediante mTOR?	La rapamicina.
Capítulo 14	Células presentadoras de antígeno	¿Qué células son APC profesionales del sistema fagocítico mononuclear?	Macrófagos y células dendríticas.
Capítulo 14	Células presentadoras de antígeno	¿Qué APC epidérmica se localiza en el estrato espinoso?	La célula de Langerhans.
Capítulo 14	Células presentadoras de antígeno	¿Qué APC hepática pertenece al sistema fagocítico mononuclear?	La célula de Kupffer.
Capítulo 14	Células presentadoras de antígeno	¿Qué linfocito también puede presentar antígenos por MHC II?	El linfocito B.
Capítulo 14	Células presentadoras de antígeno	¿Qué células tímicas presentan antígenos durante la educación de timocitos?	Las células epiteliorreticulares tipos II y III.
Capítulo 14	Macrófagos M1 y M2	¿Qué señales activan a los macrófagos M1?	IFN-γ y la interacción CD40L-CD40.
Capítulo 14	Macrófagos M1 y M2	¿Qué tipo de respuesta realizan los macrófagos M1?	Una respuesta proinflamatoria y microbicida.
Capítulo 14	Macrófagos M1 y M2	¿Qué efectos tisulares pueden producir los macrófagos M1?	Destrucción de matriz y apoptosis.
Capítulo 14	Macrófagos M1 y M2	¿Qué citocinas de TH2 favorecen la activación M2?	IL-4 e IL-13.
Capítulo 14	Macrófagos M1 y M2	¿Qué tipo de respuesta realizan los macrófagos M2?	Una respuesta antiinflamatoria y reparadora.
Capítulo 14	Macrófagos M1 y M2	¿Qué células estimulan los macrófagos M2 durante la reparación?	Fibroblastos.
Capítulo 14	Macrófagos M1 y M2	¿Qué procesos favorecen los macrófagos M2?	Depósito de colágeno y angiogénesis.
Capítulo 14	Vasos linfáticos	¿Cómo comienzan los vasos linfáticos en el tejido conjuntivo?	Como capilares de fondo ciego.
Capítulo 14	Vasos linfáticos	¿Dónde suelen ubicarse las redes de capilares linfáticos?	En el tejido conjuntivo laxo subepitelial.
Capítulo 14	Vasos linfáticos	¿Por qué los capilares linfáticos captan moléculas grandes?	Porque su pared es muy permeable.
Capítulo 14	Vasos linfáticos	¿Qué células contiene principalmente la linfa además de líquido y macromoléculas?	Linfocitos.
Capítulo 14	Vasos linfáticos	¿Cómo ingresan los linfocitos a un ganglio desde la linfa?	Por vasos linfáticos aferentes.
Capítulo 14	Vasos linfáticos	¿Cómo ingresan los linfocitos a un ganglio desde la sangre?	Por vénulas de endotelio alto.
Capítulo 14	Vasos linfáticos	¿A dónde drena finalmente la linfa de los conductos linfáticos?	A la circulación venosa en los ángulos venosos.
Capítulo 14	Tejido linfático difuso	¿Está encapsulado el tejido linfático difuso?	No.
Capítulo 14	Tejido linfático difuso	¿Dónde se encuentra el tejido linfático difuso de las mucosas?	En la lámina propia.
Capítulo 14	Tejido linfático difuso	¿Qué anticuerpos producen localmente sus células plasmáticas?	Anticuerpos dirigidos contra antígenos de la mucosa.
Capítulo 14	Tejido linfático difuso	¿Qué leucocito suele aumentar en reacciones de hipersensibilidad crónica de la mucosa?	El eosinófilo.
Capítulo 14	MALT	¿Qué significa GALT?	Tejido linfático asociado con el intestino.
Capítulo 14	MALT	¿Qué significa BALT?	Tejido linfático asociado con los bronquios.
Capítulo 14	MALT	¿Qué significa MALT?	Tejido linfático asociado con las mucosas.
Capítulo 14	Nódulos linfáticos	¿Qué caracteriza a un nódulo linfático primario?	Una acumulación homogénea de linfocitos B pequeños.
Capítulo 14	Nódulos linfáticos	¿Qué estructura distingue a un nódulo linfático secundario?	Un centro germinativo pálido.
Capítulo 14	Nódulos linfáticos	¿Qué indica la presencia de un centro germinativo?	Una respuesta a antígeno y proliferación de linfocitos B.
Capítulo 14	Nódulos linfáticos	¿Qué células predominan en el manto de un nódulo secundario?	Linfocitos B pequeños vírgenes.
Capítulo 14	Nódulos linfáticos	¿Qué células presentan antígenos intactos en el centro germinativo?	Las células dendríticas foliculares.
Capítulo 14	Nódulos linfáticos	¿Qué linfocitos T ayudan a los B en el centro germinativo?	Los linfocitos T cooperadores foliculares.
Capítulo 14	Nódulos linfáticos	¿Qué macrófagos eliminan linfocitos B apoptóticos del centro germinativo?	Los macrófagos con cuerpos tingibles.
Capítulo 14	Amígdalas y placas de Peyer	¿Qué epitelio reviste las amígdalas palatinas?	Epitelio plano estratificado.
Capítulo 14	Amígdalas y placas de Peyer	¿Qué invaginaciones aumentan el contacto antigénico en las amígdalas palatinas?	Las criptas amigdalinas.
Capítulo 14	Amígdalas y placas de Peyer	¿Tienen vasos linfáticos aferentes las amígdalas?	No; poseen vasos eferentes.
Capítulo 14	Amígdalas y placas de Peyer	¿En qué segmento intestinal se encuentran las placas de Peyer?	En el íleon.
Capítulo 14	Amígdalas y placas de Peyer	¿Qué células epiteliales transportan antígenos sobre las placas de Peyer?	Las células M.
Capítulo 14	Amígdalas y placas de Peyer	¿Qué órgano contiene abundantes nódulos linfáticos en su pared y suele involucionar con la edad?	El apéndice vermiforme.
Capítulo 14	Ganglio linfático	¿Cuál es la función principal del ganglio linfático?	Filtrar la linfa e iniciar respuestas contra sus antígenos.
Capítulo 14	Ganglio linfático	¿Por qué superficie entran los vasos linfáticos aferentes al ganglio?	Por la superficie convexa atravesando la cápsula.
Capítulo 14	Ganglio linfático	¿Por dónde sale el vaso linfático eferente del ganglio?	Por el hilio.
Capítulo 14	Ganglio linfático	¿De qué tejido está formada la cápsula ganglionar?	Tejido conjuntivo denso.
Capítulo 14	Ganglio linfático	¿Qué prolongaciones de la cápsula penetran el ganglio?	Las trabéculas.
Capítulo 14	Ganglio linfático	¿Qué región contiene los nódulos linfáticos B?	La corteza superficial.
Capítulo 14	Ganglio linfático	¿Qué región es dependiente del timo y rica en linfocitos T?	La corteza profunda o paracorteza.
Capítulo 14	Ganglio linfático	¿Qué estructuras componen la médula ganglionar?	Cordones medulares y senos medulares.
Capítulo 14	Ganglio linfático	¿Qué células abundan en los cordones medulares?	Linfocitos B, células plasmáticas y macrófagos.
Capítulo 14	Ganglio linfático	¿Cuál es la secuencia de los senos linfáticos del ganglio?	Subcapsular, trabeculares y medulares.
Capítulo 14	Ganglio linfático	¿Cómo es el endotelio del seno del lado del tejido conjuntivo?	Continuo.
Capítulo 14	Ganglio linfático	¿Cómo es el endotelio del seno del lado del parénquima?	Discontinuo.
Capítulo 14	Ganglio linfático	¿Qué red atraviesa los senos y retiene partículas?	La malla de células y fibras reticulares con macrófagos.
Capítulo 14	Malla reticular del ganglio	¿Qué célula produce fibras reticulares en el ganglio?	La célula reticular.
Capítulo 14	Malla reticular del ganglio	¿Qué célula presenta péptidos por MHC II a linfocitos T?	La célula dendrítica.
Capítulo 14	Malla reticular del ganglio	¿Expresan MHC II las células dendríticas foliculares?	No.
Capítulo 14	Malla reticular del ganglio	¿Qué receptores permiten a las células dendríticas foliculares retener complejos inmunitarios?	Receptores Fc y del complemento.
Capítulo 14	Malla reticular del ganglio	¿Qué célula fagocita material particulado en los senos ganglionares?	El macrófago.
Capítulo 14	Vénulas de endotelio alto	¿Qué porcentaje aproximado de linfocitos entra al ganglio por las VEA?	Alrededor del 90%.
Capítulo 14	Vénulas de endotelio alto	¿Dónde se localizan las VEA del ganglio?	En la corteza profunda.
Capítulo 14	Vénulas de endotelio alto	¿Qué forma tienen sus células endoteliales?	Cúbica o cilíndrica baja.
Capítulo 14	Vénulas de endotelio alto	¿Qué selectina del linfocito participa en su adhesión a las VEA?	La selectina L.
Capítulo 14	Vénulas de endotelio alto	¿Cómo atraviesan los linfocitos el endotelio de las VEA?	Por diapédesis.
Capítulo 14	Vénulas de endotelio alto	¿Qué canal acuoso abunda en las VEA?	Acuaporina 1.
Capítulo 14	Vénulas de endotelio alto	¿Qué porcentaje de líquido y electrólitos linfáticos reabsorben las VEA?	Alrededor del 35%.
Capítulo 14	Tráfico linfocitario	¿Qué receptor dirige linfocitos T a la paracorteza?	CCR7.
Capítulo 14	Tráfico linfocitario	¿Qué quimiocinas se unen a CCR7?	CCL19 y CCL21.
Capítulo 14	Tráfico linfocitario	¿Qué receptor dirige linfocitos B a los nódulos?	CXCR5.
Capítulo 14	Tráfico linfocitario	¿Qué quimiocina se une a CXCR5?	CXCL13.
Capítulo 14	Tráfico linfocitario	¿Qué receptor expresan también los linfocitos T cooperadores foliculares?	CXCR5.
Capítulo 14	Tráfico linfocitario	¿Qué lípido regula la salida de linfocitos del ganglio?	La esfingosina-1-fosfato.
Capítulo 14	Tráfico linfocitario	¿Qué receptor permite responder a la esfingosina-1-fosfato?	S1PR1.
Capítulo 14	Tráfico linfocitario	¿Qué ocurre con S1PR1 si un linfocito T virgen no reconoce antígeno?	Aumenta su expresión y el linfocito sale.
Capítulo 14	Tráfico linfocitario	¿Qué ocurre con S1PR1 tras activar un linfocito T?	Disminuye durante algunos días y retiene la célula en el ganglio.
Capítulo 14	Tráfico linfocitario	¿Cómo actúa el fingolimod sobre S1PR1?	Induce la internalización del receptor.
Capítulo 14	Tráfico linfocitario	¿Qué consecuencia sanguínea produce el fingolimod al retener linfocitos?	Linfopenia periférica.
Capítulo 14	Respuesta ganglionar	¿En qué se diferencian los linfocitos B activados en el ganglio?	En células plasmáticas, B de memoria y plasmoblastos.
Capítulo 14	Respuesta ganglionar	¿A dónde migran las células plasmáticas del ganglio?	A los cordones medulares.
Capítulo 14	Respuesta ganglionar	¿Qué porcentaje celular representan las células plasmáticas en ganglios en reposo?	1-3%.
Capítulo 14	Respuesta ganglionar	¿A dónde migran los plasmoblastos que salen del ganglio?	A la médula ósea.
Capítulo 14	Respuesta ganglionar	¿Por qué aumenta de tamaño un ganglio durante una respuesta inmunitaria?	Por formación de centros germinativos y proliferación linfocitaria.
Capítulo 14	Linfadenitis reactiva	¿Qué es la linfadenitis reactiva?	Agrandamiento inflamatorio del ganglio, usualmente secundario a infección.
Capítulo 14	Linfadenitis reactiva	¿Qué cambios agrandan el ganglio en la linfadenitis reactiva?	Edema e hiperplasia de los nódulos y sus células.
Capítulo 14	Linfadenitis reactiva	¿Qué leucocito infiltra de forma prominente los senos en una infección bacteriana?	El neutrófilo.
Capítulo 14	Linfadenitis reactiva	¿Qué es la linfangitis asociada con linfadenitis?	Inflamación de vasos aferentes que transportan linfa infectada.
Capítulo 14	Linfadenitis reactiva	¿Cómo pueden verse los vasos afectados por linfangitis bajo la piel?	Como estrías rojas.
Capítulo 14	Linfadenitis reactiva	¿Qué microorganismos causan linfadenitis con mayor frecuencia?	Estreptococos y estafilococos.
Capítulo 14	Linfadenitis reactiva	¿Cómo suele ser la palpación en la linfadenitis aguda?	Dolorosa.
Capítulo 14	Linfadenitis reactiva	¿Cómo suele ser la palpación en la linfadenitis crónica?	No dolorosa.
Capítulo 14	Timo	¿Dónde se localiza el timo?	En el mediastino superior, delante del corazón y los grandes vasos.
Capítulo 14	Timo	¿De qué bolsas faríngeas deriva el timo?	De la tercera y, a veces, la cuarta bolsa faríngea.
Capítulo 14	Timo	¿De qué capa embrionaria deriva el epitelio tímico?	Del endodermo.
Capítulo 14	Timo	¿Qué células invaden el rudimento epitelial del timo?	Células progenitoras linfoides de la médula ósea.
Capítulo 14	Timo	¿Cuándo está completamente formado el timo?	Al momento del nacimiento.
Capítulo 14	Timo	¿Qué ocurre con el timo después de la pubertad?	Sufre involución y gran parte del tejido linfático se reemplaza por grasa.
Capítulo 14	Timo	¿Puede continuar la maduración de linfocitos T en la vida adulta?	Sí.
Capítulo 14	Timo	¿Qué rodea al timo?	Una cápsula delgada de tejido conjuntivo.
Capítulo 14	Timo	¿Tiene el timo vasos linfáticos aferentes?	No.
Capítulo 14	Timo	¿Qué vasos linfáticos posee el timo?	Vasos eferentes en cápsula y trabéculas.
Capítulo 14	Timo	¿Por qué los lobulillos tímicos no son verdaderos lobulillos?	Porque la médula es una masa continua entre ellos.
Capítulo 14	Timo	¿Qué región tímica se tiñe más basófila?	La corteza.
Capítulo 14	Timo	¿Por qué la corteza tímica es intensamente basófila?	Por la gran densidad de timocitos pequeños.
Capítulo 14	Timo	¿Por qué la médula tímica se ve más pálida?	Porque contiene menos linfocitos, más grandes y laxamente agrupados.
Capítulo 14	Timo	¿Qué estroma sustituye a las células y fibras reticulares en el timo?	Una red de células epiteliorreticulares.
Capítulo 14	Timo	¿Hay fibras reticulares en el parénquima tímico?	No.
Capítulo 14	Células epiteliorreticulares	¿Dónde se localizan las células epiteliorreticulares tipo I?	Entre corteza y cápsula o trabéculas, y alrededor de vasos corticales.
Capítulo 14	Células epiteliorreticulares	¿Qué función tienen las células epiteliorreticulares tipo I?	Separar el parénquima cortical del tejido conjuntivo.
Capítulo 14	Células epiteliorreticulares	¿Qué unión sostiene la barrera formada por células tipo I?	Uniones ocluyentes.
Capítulo 14	Células epiteliorreticulares	¿Dónde se localizan las células epiteliorreticulares tipo II?	Dentro de la corteza tímica.
Capítulo 14	Células epiteliorreticulares	¿Qué forma tienen las células epiteliorreticulares tipo II?	Estrellada, con evaginaciones largas.
Capítulo 14	Células epiteliorreticulares	¿Qué uniones conectan las evaginaciones de las células tipo II?	Desmosomas.
Capítulo 14	Células epiteliorreticulares	¿Qué moléculas presentan las células tipo II a los timocitos?	MHC I y MHC II.
Capítulo 14	Células epiteliorreticulares	¿Dónde se localizan las células epiteliorreticulares tipo III?	En el límite corticomedular.
Capítulo 14	Células epiteliorreticulares	¿Qué función tienen las células tipo III?	Formar una barrera entre corteza y médula.
Capítulo 14	Células epiteliorreticulares	¿Qué moléculas de presentación expresan las células tipo III?	MHC I y MHC II.
Capítulo 14	Células epiteliorreticulares	¿Dónde se localizan las células epiteliorreticulares tipo IV?	En el lado medular de la unión corticomedular.
Capítulo 14	Células epiteliorreticulares	¿Con qué células cooperan las tipo IV para formar la barrera corticomedular?	Con las tipo III.
Capítulo 14	Células epiteliorreticulares	¿Dónde se distribuyen las células epiteliorreticulares tipo V?	Por toda la médula.
Capítulo 14	Células epiteliorreticulares	¿Qué función tienen las células tipo V?	Formar el armazón medular y compartimentalizar linfocitos.
Capítulo 14	Células epiteliorreticulares	¿Qué estructura forman las células epiteliorreticulares tipo VI?	Los corpúsculos tímicos o de Hassall.
Capítulo 14	Corpúsculos de Hassall	¿Dónde se encuentran los corpúsculos de Hassall?	En la médula tímica.
Capítulo 14	Corpúsculos de Hassall	¿Cómo se disponen las células tipo VI en un corpúsculo de Hassall?	En masas concéntricas.
Capítulo 14	Corpúsculos de Hassall	¿Qué puede observarse en el centro de un corpúsculo de Hassall?	Queratinización.
Capítulo 14	Corpúsculos de Hassall	¿Qué inclusiones citoplasmáticas poseen las células tipo VI?	Gránulos de queratohialina, filamentos intermedios e inclusiones lipídicas.
Capítulo 14	Corpúsculos de Hassall	¿Qué interleucinas se postula que producen los corpúsculos de Hassall?	IL-4 e IL-7.
Capítulo 14	Macrófagos tímicos	¿Qué eliminan los macrófagos de la corteza tímica?	Timocitos que no superan la educación tímica.
Capítulo 14	Macrófagos tímicos	¿Qué porcentaje aproximado de timocitos muere por apoptosis?	Alrededor del 98%.
Capítulo 14	Macrófagos tímicos	¿Qué tinción permite identificar con facilidad los macrófagos tímicos?	La reacción PAS.
Capítulo 14	Macrófagos tímicos	¿Por qué los macrófagos tímicos son PAS positivos?	Por sus numerosos lisosomas grandes.
Capítulo 14	Barrera hematotímica	¿Cuál es la función de la barrera hematotímica?	Proteger a los timocitos corticales de la exposición a antígenos.
Capítulo 14	Barrera hematotímica	¿Cómo es el endotelio capilar de la barrera hematotímica?	Continuo y unido por uniones ocluyentes.
Capítulo 14	Barrera hematotímica	¿Qué contiene el tejido conjuntivo perivascular de la barrera?	Macrófagos.
Capítulo 14	Barrera hematotímica	¿Qué célula epiteliorreticular completa la barrera hematotímica?	La tipo I.
Capítulo 14	Barrera hematotímica	¿Cuáles son los tres componentes principales de la barrera hematotímica?	Endotelio con lámina basal, tejido perivascular con macrófagos y células tipo I con lámina basal.
Capítulo 14	Educación tímica	¿Qué moléculas marcan la etapa doble negativa temprana?	CD2 y CD7, sin CD4 ni CD8.
Capítulo 14	Educación tímica	¿Qué molécula marca una etapa intermedia de diferenciación T?	CD1.
