chapter,subtopic,front,back
Capítulo 11,Músculo estriado visceral,¿Dónde se encuentra músculo estriado visceral?,"Lengua, faringe, parte lumbar del diafragma y parte superior del esófago."
Capítulo 11,Músculo estriado visceral,¿Qué funciones realiza el músculo estriado visceral?,"Habla, respiración y deglución."
Capítulo 11,Músculo cardíaco,¿Dónde se encuentra el músculo cardíaco?,En la pared del corazón y desembocadura de grandes venas.
Capítulo 11,Músculo cardíaco,¿Qué tipo de músculo es el músculo cardíaco?,Músculo estriado.
Capítulo 11,Comparación de tipos musculares,¿Qué músculo es estriado y se fija al hueso?,Músculo esquelético.
Capítulo 11,Comparación de tipos musculares,¿Qué músculo es estriado y se encuentra en el corazón?,Músculo cardíaco.
Capítulo 11,Comparación de tipos musculares,¿Qué músculo no presenta estriaciones?,Músculo liso.
Capítulo 11,Comparación de tipos musculares,¿Qué músculo estriado se encuentra en tejidos blandos como lengua y faringe?,Músculo estriado visceral.
Capítulo 11,Comparación de tipos musculares,¿Qué músculo se limita a vísceras y vasos?,Músculo liso.
Capítulo 11,Músculo esquelético: fibra muscular,¿Qué es una fibra muscular esquelética?,Una célula muscular esquelética multinucleada.
Capítulo 11,Músculo esquelético: fibra muscular,¿Por qué la fibra muscular esquelética es un sincitio?,Porque se forma por fusión de mioblastos.
Capítulo 11,Músculo esquelético: fibra muscular,¿Qué células se fusionan para formar una fibra muscular esquelética?,Mioblastos.
Capítulo 11,Músculo esquelético: fibra muscular,¿Qué forma tiene una fibra muscular esquelética en corte transversal?,Poligonal.
Capítulo 11,Músculo esquelético: fibra muscular,¿Qué diámetro aproximado tiene una fibra muscular esquelética madura?,10-100 µm.
Capítulo 11,Músculo esquelético: fibra muscular,¿Qué tan larga puede ser una fibra muscular esquelética?,Desde pocos milímetros hasta casi un metro.
Capítulo 11,Músculo esquelético: fibra muscular,¿Qué músculo tiene fibras que pueden aproximarse a un metro de longitud?,Músculo sartorio.
Capítulo 11,Músculo esquelético: fibra muscular,¿Qué músculo tiene fibras de pocos milímetros de longitud?,Músculo estapedio.
Capítulo 11,Músculo esquelético: fibra muscular,¿Una fibra muscular esquelética es una fibra extracelular de tejido conjuntivo?,"No, es una célula muscular."
Capítulo 11,Músculo esquelético: núcleos,¿Dónde se ubican los núcleos de la fibra muscular esquelética?,"En la periferia, justo debajo de la membrana plasmática."
Capítulo 11,Músculo esquelético: núcleos,¿Qué músculo tiene fibras multinucleadas con núcleos periféricos?,Músculo esquelético.
Capítulo 11,Músculo esquelético: núcleos,¿Qué localización nuclear ayuda a identificar músculo esquelético?,Núcleos periféricos submembranosos.
Capítulo 11,Sarcolema,¿Qué es el sarcolema?,La membrana plasmática de la célula muscular y sus cubiertas externas.
Capítulo 11,Sarcolema,¿Qué componentes forman el sarcolema según Ross?,"Membrana plasmática, lámina externa y lámina reticular."
Capítulo 11,Sarcolema,¿Qué lámina extracelular forma parte del sarcolema?,Lámina externa.
Capítulo 11,Sarcolema,¿Qué capa reticular rodea la lámina externa del sarcolema?,Lámina reticular.
Capítulo 11,Organización del músculo esquelético,¿Cómo se organizan las fibras musculares esqueléticas?,En fascículos paralelos.
Capítulo 11,Organización del músculo esquelético,¿Qué mantiene juntas a las fibras musculares esqueléticas?,Tejido conjuntivo.
Capítulo 11,Organización del músculo esquelético,¿Qué función mecánica tiene el tejido conjuntivo asociado al músculo?,Transducción de fuerzas.
Capítulo 11,Organización del músculo esquelético,¿En qué estructura continúa el tejido conjuntivo muscular en los extremos del músculo?,Tendón u otra estructura de colágeno.
Capítulo 11,Organización del músculo esquelético,¿Qué función tiene el tendón respecto al músculo esquelético?,Fijarlo generalmente al hueso.
Capítulo 11,Organización del músculo esquelético,¿Qué estructuras viajan por el tejido conjuntivo del músculo?,Vasos sanguíneos y nervios.
Capítulo 11,Endomisio,¿Qué es el endomisio?,Capa fina de fibras reticulares que rodea cada fibra muscular individual.
Capítulo 11,Endomisio,¿Qué estructura rodea directamente una fibra muscular esquelética individual?,Endomisio.
Capítulo 11,Endomisio,¿Qué tipo de fibras contiene principalmente el endomisio?,Fibras reticulares.
Capítulo 11,Endomisio,¿Qué vasos se encuentran en el endomisio?,Vasos sanguíneos pequeños.
Capítulo 11,Endomisio,¿Qué nervios se encuentran en el endomisio?,Ramificaciones nerviosas muy finas.
Capítulo 11,Endomisio,¿Cómo discurren vasos pequeños y nervios finos del endomisio?,Paralelos a las fibras musculares.
Capítulo 11,Perimisio,¿Qué es el perimisio?,Capa de tejido conjuntivo que rodea un fascículo muscular.
Capítulo 11,Perimisio,¿Qué estructura rodea grupos de fibras musculares?,Perimisio.
Capítulo 11,Perimisio,¿Qué forma un grupo de fibras musculares rodeado por perimisio?,Un fascículo.
Capítulo 11,Perimisio,¿Qué son los fascículos musculares?,Unidades funcionales de fibras musculares que trabajan juntas.
Capítulo 11,Perimisio,¿Qué contiene el perimisio?,Vasos sanguíneos y nervios grandes.
Capítulo 11,Perimisio,¿Qué capa conjuntiva es más gruesa que el endomisio?,Perimisio.
Capítulo 11,Epimisio,¿Qué es el epimisio?,Vaina de tejido conjuntivo denso que rodea todo el músculo.
Capítulo 11,Epimisio,¿Qué estructura rodea todo el conjunto de fascículos de un músculo?,Epimisio.
Capítulo 11,Epimisio,¿Qué otro nombre macroscópico recibe el epimisio?,Fascia profunda.
Capítulo 11,Epimisio,¿Qué estructuras penetran el músculo a través del epimisio?,Componentes principales de irrigación e inervación.
Capítulo 11,Epimisio,¿Qué capa de tejido conjuntivo rodea el músculo completo?,Epimisio.
Capítulo 11,Comparación endomisio-perimisio-epimisio,¿Qué capa rodea una fibra muscular individual?,Endomisio.
Capítulo 11,Comparación endomisio-perimisio-epimisio,¿Qué capa rodea un fascículo muscular?,Perimisio.
Capítulo 11,Comparación endomisio-perimisio-epimisio,¿Qué capa rodea todo el músculo?,Epimisio.
Capítulo 11,Comparación endomisio-perimisio-epimisio,¿Qué capa tiene vasos pequeños y ramificaciones nerviosas finas?,Endomisio.
Capítulo 11,Comparación endomisio-perimisio-epimisio,¿Qué capa tiene vasos y nervios más grandes?,Perimisio.
Capítulo 11,Comparación endomisio-perimisio-epimisio,¿Qué capa se continúa con tendones?,Epimisio y tejido conjuntivo intramuscular.
Capítulo 11,Comparación endomisio-perimisio-epimisio,¿Qué capa se llama también fascia profunda?,Epimisio.
Capítulo 11,Fibras musculares esqueléticas,¿Qué criterios clasifican las fibras musculares esqueléticas?,"Rapidez de contracción, actividad ATPasa miosínica y perfil metabólico."
Capítulo 11,Fibras musculares esqueléticas,¿Qué indica la rapidez de contracción de una fibra muscular?,Qué tan rápido puede contraerse y relajarse.
Capítulo 11,Fibras musculares esqueléticas,¿Qué indica la actividad ATPasa de miosina en una fibra muscular?,La velocidad con que escinde ATP durante el ciclo contráctil.
Capítulo 11,Fibras musculares esqueléticas,¿Qué indica el perfil metabólico de una fibra muscular?,Su capacidad de producir ATP por fosforilación oxidativa o glucólisis.
Capítulo 11,Fibras musculares esqueléticas,¿Qué molécula almacena oxígeno en fibras musculares oxidativas?,Mioglobina.
Capítulo 11,Fibras musculares esqueléticas,¿Qué masa aproximada tiene la mioglobina?,17.8 kDa.
Capítulo 11,Fibras musculares esqueléticas,¿Qué metal contiene la mioglobina?,Hierro ferroso.
Capítulo 11,Fibras musculares esqueléticas,¿Qué proteína sanguínea se parece funcionalmente a la mioglobina?,Hemoglobina.
Capítulo 11,Fibras musculares esqueléticas,¿Qué función principal tiene la mioglobina?,Almacenar oxígeno en fibras musculares.
Capítulo 11,Fibras musculares esqueléticas,¿Qué fibras musculares tienen muchas mitocondrias y mioglobina?,Fibras oxidativas.
Capítulo 11,Fibras musculares esqueléticas,¿Qué organelos abundan en fibras musculares oxidativas?,Mitocondrias.
Capítulo 11,Fibras musculares esqueléticas,¿Qué pigmento contribuye al color rojizo de fibras oxidativas?,Mioglobina.
Capítulo 11,Tipos de fibras esqueléticas,¿Cuáles son los tres tipos principales de fibras musculares esqueléticas?,"Tipo I, tipo IIa y tipo IIb."
Capítulo 11,Fibras tipo I,¿Qué otro nombre reciben las fibras musculares tipo I?,Fibras oxidativas lentas.
Capítulo 11,Fibras tipo I,¿Qué tipo de metabolismo predomina en fibras tipo I?,Oxidativo.
Capítulo 11,Fibras tipo I,¿Qué velocidad de contracción tienen las fibras tipo I?,Lenta.
Capítulo 11,Fibras tipo I,¿Qué resistencia a la fatiga tienen las fibras tipo I?,Alta resistencia.
Capítulo 11,Fibras tipo I,¿Qué contenido de mioglobina tienen las fibras tipo I?,Alto.
Capítulo 11,Fibras tipo I,¿Qué cantidad de mitocondrias tienen las fibras tipo I?,Alta.
Capítulo 11,Fibras tipo I,¿Qué color suelen tener las fibras tipo I?,Rojo.
Capítulo 11,Fibras tipo I,¿Para qué tipo de actividad sirven mejor las fibras tipo I?,Actividad sostenida y resistencia.
Capítulo 11,Fibras tipo IIa,¿Qué otro nombre reciben las fibras musculares tipo IIa?,Fibras glucolíticas oxidativas rápidas.
Capítulo 11,Fibras tipo IIa,¿Qué velocidad de contracción tienen las fibras tipo IIa?,Rápida.
Capítulo 11,Fibras tipo IIa,¿Qué metabolismo usan las fibras tipo IIa?,Oxidativo y glucolítico.
Capítulo 11,Fibras tipo IIa,¿Qué resistencia a la fatiga tienen las fibras tipo IIa?,Intermedia.
Capítulo 11,Fibras tipo IIa,¿Qué cantidad de glucógeno tienen las fibras tipo IIa?,Abundante.
Capítulo 11,Fibras tipo IIa,¿Qué cantidad de mitocondrias tienen las fibras tipo IIa?,Moderada a alta.
Capítulo 11,Fibras tipo IIa,¿Para qué tipo de actividad sirven las fibras tipo IIa?,Contracciones rápidas con resistencia moderada.
Capítulo 11,Fibras tipo IIb,¿Qué otro nombre reciben las fibras musculares tipo IIb?,Fibras glucolíticas rápidas.
Capítulo 11,Fibras tipo IIb,¿Qué velocidad de contracción tienen las fibras tipo IIb?,Muy rápida.
Capítulo 11,Fibras tipo IIb,¿Qué metabolismo predomina en fibras tipo IIb?,Glucolítico.
Capítulo 11,Fibras tipo IIb,¿Qué resistencia a la fatiga tienen las fibras tipo IIb?,Baja.
Capítulo 11,Fibras tipo IIb,¿Qué contenido de mioglobina tienen las fibras tipo IIb?,Bajo.
Capítulo 11,Fibras tipo IIb,¿Qué cantidad de mitocondrias tienen las fibras tipo IIb?,Baja.
Capítulo 11,Fibras tipo IIb,¿Qué cantidad de glucógeno tienen las fibras tipo IIb?,Alta.
Capítulo 11,Fibras tipo IIb,¿Qué color suelen tener las fibras tipo IIb?,Pálido o blanco.
Capítulo 11,Fibras tipo IIb,¿Para qué tipo de actividad sirven mejor las fibras tipo IIb?,"Movimientos rápidos, intensos y breves."
Capítulo 11,Comparación de fibras esqueléticas,¿Qué fibra muscular es más resistente a la fatiga?,Tipo I.
Capítulo 11,Comparación de fibras esqueléticas,¿Qué fibra muscular se fatiga más rápido?,Tipo IIb.
Capítulo 11,Comparación de fibras esqueléticas,¿Qué fibra tiene más mioglobina?,Tipo I.
Capítulo 11,Comparación de fibras esqueléticas,¿Qué fibra tiene menos mioglobina?,Tipo IIb.
Capítulo 11,Comparación de fibras esqueléticas,¿Qué fibra tiene metabolismo más glucolítico?,Tipo IIb.
Capítulo 11,Comparación de fibras esqueléticas,¿Qué fibra tiene metabolismo más oxidativo?,Tipo I.
Capítulo 11,Comparación de fibras esqueléticas,¿Qué fibra tiene contracción más lenta?,Tipo I.
Capítulo 11,Comparación de fibras esqueléticas,¿Qué fibra tiene contracción más rápida?,Tipo IIb.
Capítulo 11,Comparación de fibras esqueléticas,¿Qué fibra tiene metabolismo mixto oxidativo-glucolítico?,Tipo IIa.
Capítulo 11,Comparación de fibras esqueléticas,¿Qué fibra es intermedia entre tipo I y tipo IIb?,Tipo IIa.
Capítulo 11,Metabolismo muscular,¿Qué produce ATP en fibras oxidativas?,Fosforilación oxidativa.
Capítulo 11,Metabolismo muscular,¿Qué produce ATP en fibras glucolíticas?,Glucólisis.
Capítulo 11,Metabolismo muscular,¿Qué fibra depende más de oxígeno para producir ATP?,Tipo I.
Capítulo 11,Metabolismo muscular,¿Qué fibra depende más de glucógeno para energía rápida?,Tipo IIb.
Capítulo 11,Metabolismo muscular,¿Qué molécula muscular almacena oxígeno para metabolismo aeróbico?,Mioglobina.
Capítulo 11,Metabolismo muscular,¿Qué células musculares tienen más complejos de citocromos transportadores de electrones?,Fibras oxidativas.
Capítulo 11,Identificación histológica,"¿Qué tejido tiene fibras largas, multinucleadas, estriadas y con núcleos periféricos?",Músculo esquelético.
Capítulo 11,Identificación histológica,¿Qué tejido muscular se organiza en fascículos rodeados por perimisio?,Músculo esquelético.
Capítulo 11,Identificación histológica,¿Qué tejido muscular muestra estriaciones transversales visibles en fibras paralelas largas?,Músculo esquelético.
Capítulo 11,Identificación histológica,¿Qué característica nuclear distingue al músculo esquelético del cardíaco?,Núcleos múltiples y periféricos.
Capítulo 11,Identificación histológica,¿Qué capa conjuntiva se ve entre fibras musculares individuales?,Endomisio.
Capítulo 11,Identificación histológica,¿Qué capa conjuntiva se ve entre fascículos musculares?,Perimisio.
Capítulo 11,Identificación histológica,¿Qué capa conjuntiva se ve alrededor del músculo completo?,Epimisio.
Capítulo 11,Miofibrillas,¿Cuál es la subunidad estructural y funcional de la fibra muscular?,Miofibrilla.
Capítulo 11,Miofibrillas,¿Qué estructuras longitudinales llenan la fibra muscular esquelética?,Miofibrillas.
Capítulo 11,Miofibrillas,¿En qué dirección se extienden las miofibrillas dentro de la fibra muscular?,A lo largo de toda la célula muscular.
Capítulo 11,Miofibrillas,¿Cómo se ven las miofibrillas en cortes transversales de fibras musculares?,Como un aspecto punteado.
Capítulo 11,Miofibrillas,¿De qué están compuestas las miofibrillas?,De haces de miofilamentos.
Capítulo 11,Miofilamentos,¿Qué son los miofilamentos?,Polímeros filamentosos contráctiles de actina y miosina II.
Capítulo 11,Miofilamentos,¿Cuáles son los verdaderos elementos contráctiles del músculo estriado?,Miofilamentos.
Capítulo 11,Miofilamentos,¿Qué dos tipos de miofilamentos componen la miofibrilla?,Filamentos delgados y filamentos gruesos.
Capítulo 11,Miofilamentos,¿Qué proteína principal contienen los filamentos delgados?,Actina.
Capítulo 11,Miofilamentos,¿Qué proteína principal contienen los filamentos gruesos?,Miosina II.
Capítulo 11,Miofilamentos,¿Qué organelo rodea los haces de miofilamentos en músculo estriado?,Retículo sarcoplasmático.
Capítulo 11,Retículo sarcoplasmático,¿Qué es el retículo sarcoplasmático?,Retículo endoplasmático liso especializado de la célula muscular.
Capítulo 11,Retículo sarcoplasmático,¿Qué forma el retículo sarcoplasmático alrededor de los elementos contráctiles?,Una red tubular organizada.
Capítulo 11,Retículo sarcoplasmático,¿Qué función principal tiene el retículo sarcoplasmático?,Almacenar y liberar calcio.
Capítulo 11,Retículo sarcoplasmático,¿Qué estructuras se localizan entre miofibrillas asociadas al retículo sarcoplasmático?,Mitocondrias y depósitos de glucógeno.
Capítulo 11,Retículo sarcoplasmático,¿Por qué las mitocondrias y glucógeno se ubican entre miofibrillas?,Para aportar energía a la contracción.
Capítulo 11,Sarcómero,¿Cuál es la unidad contráctil más pequeña del músculo estriado?,Sarcómero.
Capítulo 11,Sarcómero,¿Qué límites definen un sarcómero?,Una línea Z y la siguiente línea Z.
Capítulo 11,Sarcómero,¿Entre qué estructuras se extiende un sarcómero?,Entre dos líneas Z contiguas.
Capítulo 11,Sarcómero,¿Qué patrón produce la repetición de sarcómeros en registro?,Estriaciones transversales.
Capítulo 11,Sarcómero,¿Qué pasa con el sarcómero durante la contracción?,Se acorta.
Capítulo 11,Sarcómero,¿Qué causa el acortamiento del sarcómero?,Mayor interdigitación entre filamentos delgados y gruesos.
Capítulo 11,Sarcómero,¿Qué teoría explica la contracción del sarcómero?,Teoría del deslizamiento de filamentos.
Capítulo 11,Banda A,¿Qué representa la banda A del sarcómero?,La longitud de los filamentos gruesos.
Capítulo 11,Banda A,¿Qué filamentos contiene principalmente la banda A?,Filamentos gruesos de miosina.
Capítulo 11,Banda A,¿Qué banda del sarcómero es anisotrópica y oscura?,Banda A.
Capítulo 11,Banda A,¿Qué ocurre con la longitud de la banda A durante la contracción?,Permanece constante.
Capítulo 11,Banda A,¿Por qué la banda A no cambia de longitud durante la contracción?,Porque corresponde a la longitud de los filamentos gruesos.
Capítulo 11,Banda A,¿Qué región de la banda A contiene superposición entre actina y miosina?,Las zonas laterales de la banda A.
Capítulo 11,Banda I,¿Qué representa la banda I del sarcómero?,La región con filamentos delgados sin filamentos gruesos.
Capítulo 11,Banda I,¿Qué filamentos contiene principalmente la banda I?,Filamentos delgados.
Capítulo 11,Banda I,¿Qué banda del sarcómero es isotrópica y clara?,Banda I.
Capítulo 11,Banda I,¿Qué estructura atraviesa el centro de la banda I?,Línea Z.
Capítulo 11,Banda I,¿Qué ocurre con la banda I durante la contracción?,Se acorta.
Capítulo 11,Banda I,¿Por qué la banda I se acorta durante la contracción?,Porque aumenta la superposición entre filamentos delgados y gruesos.
Capítulo 11,Banda H,¿Qué es la banda H?,Región central de la banda A con solo filamentos gruesos.
Capítulo 11,Banda H,¿Qué filamentos contiene la banda H?,Solo filamentos gruesos.
Capítulo 11,Banda H,¿Qué ocurre con la banda H durante la contracción?,Se estrecha o desaparece.
Capítulo 11,Banda H,¿Por qué la banda H se estrecha durante la contracción?,Porque los filamentos delgados se deslizan hacia el centro del sarcómero.
Capítulo 11,Línea M,¿Qué es la línea M?,Línea central del sarcómero donde se vinculan filamentos gruesos.
Capítulo 11,Línea M,¿Dónde se ubica la línea M?,En el centro de la banda H.
Capítulo 11,Línea M,¿Qué filamentos se organizan en la línea M?,Filamentos gruesos.
Capítulo 11,Línea Z,¿Qué es la línea Z?,Estructura que fija filamentos delgados de sarcómeros contiguos.
Capítulo 11,Línea Z,¿Qué filamentos se fijan a la línea Z?,Filamentos delgados.
Capítulo 11,Línea Z,¿Qué proteína fija actina en la línea Z?,Actinina alfa.
Capítulo 11,Línea Z,¿Qué aspecto tiene la línea Z en corte longitudinal?,Zigzag.
Capítulo 11,Línea Z,¿Qué región del sarcómero divide la línea Z?,Banda I.
Capítulo 11,Línea Z,¿Qué proteínas de matriz Z ayudan a sujetar líneas Z a miofibrillas vecinas y sarcolema?,"Teletonina, talina, desmina, miotilina y filamina C."
Capítulo 11,Línea Z,¿Qué filamento intermedio ayuda a unir líneas Z con miofibrillas vecinas?,Desmina.
Capítulo 11,Línea Z,¿Qué función general tiene la matriz Z?,Sujetar y alinear sarcómeros.
Capítulo 11,Estados del sarcómero,¿Qué caracteriza al sarcómero relajado?,Interdigitación incompleta y bandas H e I relativamente amplias.
Capítulo 11,Estados del sarcómero,¿Qué caracteriza al sarcómero contraído?,Mayor interdigitación entre filamentos delgados y gruesos.
Capítulo 11,Estados del sarcómero,¿Qué caracteriza al sarcómero distendido?,Los filamentos delgados y gruesos no interactúan.
Capítulo 11,Estados del sarcómero,¿Qué bandas son muy amplias en un sarcómero distendido?,Bandas H e I.
Capítulo 11,Estados del sarcómero,"¿Qué banda permanece constante en sarcómero relajado, contraído y distendido?",Banda A.
Capítulo 11,Estados del sarcómero,¿Qué bandas cambian con el grado de contracción del sarcómero?,Bandas H e I.
Capítulo 11,Organización hexagonal,¿Cómo se organiza cada filamento grueso en la zona de superposición?,En el centro de una formación hexagonal de filamentos delgados.
Capítulo 11,Organización hexagonal,¿Qué región del sarcómero contiene filamentos delgados y gruesos superpuestos?,Banda A con superposición.
Capítulo 11,Organización hexagonal,¿Qué región contiene solo filamentos delgados?,Banda I.
Capítulo 11,Organización hexagonal,¿Qué región contiene solo filamentos gruesos?,Banda H.
Capítulo 11,Filamento delgado,¿Qué proteínas principales forman el filamento delgado?,"Actina, tropomiosina y troponina."
Capítulo 11,Filamento delgado,¿Qué proteína estructural principal forma el filamento delgado?,Actina.
Capítulo 11,Filamento delgado,¿Qué dos proteínas reguladoras principales tiene el filamento delgado?,Tropomiosina y troponina.
Capítulo 11,Filamento delgado,¿Cómo se organiza la actina en el filamento delgado?,Dos hebras helicoidales de actina F.
Capítulo 11,Filamento delgado,¿Qué tiene cada molécula de actina G del filamento delgado?,Un sitio de unión para miosina.
Capítulo 11,Filamento delgado,¿Qué bloquea el sitio de unión a miosina en reposo?,Tropomiosina.
Capítulo 11,Filamento delgado,¿Qué proteína forma un casquete en el extremo negativo del filamento delgado?,Tropomodulina.
Capítulo 11,Filamento delgado,¿Qué proteína regula la posición de la tropomiosina?,Complejo de troponina.
Capítulo 11,Troponina,¿Qué componente de la troponina fija calcio?,Troponina C.
Capítulo 11,Troponina,¿Qué sigla corresponde a troponina C?,TnC.
Capítulo 11,Troponina,¿Qué componente de la troponina se une a actina?,Troponina I.
Capítulo 11,Troponina,¿Qué sigla corresponde a troponina I?,TnI.
Capítulo 11,Troponina,¿Qué componente de la troponina se une a tropomiosina?,Troponina T.
Capítulo 11,Troponina,¿Qué sigla corresponde a troponina T?,TnT.
Capítulo 11,Troponina,¿Qué ocurre cuando Ca2+ se une a troponina C?,Cambia la configuración del complejo troponina-tropomiosina.
Capítulo 11,Troponina,¿Qué efecto tiene el cambio de troponina-tropomiosina por calcio?,Expone sitios de unión para miosina en actina.
Capítulo 11,Tropomiosina,¿Qué función tiene la tropomiosina en músculo relajado?,Bloquea físicamente los sitios de unión de miosina en actina.
Capítulo 11,Tropomiosina,¿Qué debe ocurrir con la tropomiosina para permitir contracción?,Debe desplazarse fuera de los sitios de unión a miosina.
Capítulo 11,Tropomiosina,¿Qué complejo desplaza la tropomiosina al unirse calcio?,Complejo de troponina.
Capítulo 11,Filamento grueso,¿Qué proteína principal forma el filamento grueso?,Miosina II.
Capítulo 11,Filamento grueso,¿Qué parte de la miosina II se une a actina?,Cabeza de miosina.
Capítulo 11,Filamento grueso,¿Qué parte de la miosina II tiene actividad ATPasa?,Cabeza de miosina.
Capítulo 11,Filamento grueso,¿Qué convierte energía química en fuerza mecánica en el filamento grueso?,Cabeza de miosina.
Capítulo 11,Filamento grueso,¿Qué parte de la miosina II forma el eje del filamento grueso?,Cola.
Capítulo 11,Filamento grueso,¿Cómo se organizan las cabezas de miosina a ambos lados de la banda H?,En orientación antiparalela.
Capítulo 11,Filamento grueso,¿Qué efecto tiene la orientación antiparalela de cabezas de miosina?,Arrastra filamentos delgados hacia el centro de la banda A.
Capítulo 11,Proteínas accesorias,¿Qué proteína gigante ayuda a centrar el filamento grueso en el sarcómero?,Titina.
Capítulo 11,Proteínas accesorias,¿Qué proteína impide el estiramiento excesivo del sarcómero?,Titina.
Capítulo 11,Proteínas accesorias,¿Qué proteína aporta fuerza de recuperación pasiva al sarcómero?,Titina.
Capítulo 11,Proteínas accesorias,¿Qué proteína une filamentos delgados a la línea Z?,Actinina alfa.
Capítulo 11,Proteínas accesorias,¿Qué proteína estabiliza el extremo negativo del filamento delgado?,Tropomodulina.
Capítulo 11,Proteínas accesorias,¿Qué proteína ayuda a alinear miofibrillas a nivel de líneas Z?,Desmina.
Capítulo 11,Proteínas accesorias,¿Qué proteína conecta el citoesqueleto subsarcolemal con la matriz extracelular?,Distrofina.
Capítulo 11,Distrofina,¿Qué es la distrofina?,Proteína que conecta filamentos de actina con proteínas del sarcolema y MEC.
Capítulo 11,Distrofina,¿Qué función mecánica tiene la distrofina?,Estabiliza el sarcolema durante la contracción.
