chapter,subtopic,front,back
Capítulo 9,Fundamentos del tejido adiposo,¿Qué tipos de sustancias incluyen las adipocinas?,"Hormonas, factores de crecimiento y citocinas."
Capítulo 9,Fundamentos del tejido adiposo,¿Qué complicaciones se relacionan con mayor actividad endocrina de adipocitos en obesidad?,Complicaciones metabólicas y cardiovasculares.
Capítulo 9,Tipos de tejido adiposo,¿Cuáles son los dos tipos principales de tejido adiposo?,Blanco y pardo.
Capítulo 9,Tipos de tejido adiposo,¿Qué otro nombre recibe el tejido adiposo blanco?,Tejido adiposo unilocular.
Capítulo 9,Tipos de tejido adiposo,¿Qué otro nombre recibe el tejido adiposo pardo?,Tejido adiposo multilocular.
Capítulo 9,Tipos de tejido adiposo,¿Qué tipo de tejido adiposo predomina en el humano adulto?,Tejido adiposo blanco.
Capítulo 9,Tipos de tejido adiposo,¿Qué tipo de tejido adiposo es abundante en vida fetal y neonatos?,Tejido adiposo pardo.
Capítulo 9,Tipos de tejido adiposo,¿Qué ocurre con el tejido adiposo pardo durante la primera década de vida?,Disminuye.
Capítulo 9,Tipos de tejido adiposo,¿Dónde persiste tejido adiposo pardo en adultos?,En cantidades variables alrededor de órganos internos y regiones cervical/supraclavicular.
Capítulo 9,Tejido adiposo blanco,¿Qué porcentaje mínimo del peso corporal puede representar el tejido adiposo blanco en un adulto sano?,Aproximadamente 10%.
Capítulo 9,Tejido adiposo blanco,¿Cuáles son las funciones principales del tejido adiposo blanco?,"Almacenar energía, aislar, amortiguar y secretar hormonas."
Capítulo 9,Tejido adiposo blanco,¿Qué tejido adiposo forma el panículo adiposo?,Tejido adiposo blanco.
Capítulo 9,Tejido adiposo blanco,¿Qué es el panículo adiposo?,Capa adiposa de la fascia subcutánea.
Capítulo 9,Tejido adiposo blanco,¿Qué función térmica cumple el panículo adiposo?,Reduce la pérdida de calor.
Capítulo 9,Tejido adiposo blanco,¿Por qué el tejido adiposo subcutáneo funciona como aislante térmico?,Porque tiene baja conductividad térmica.
Capítulo 9,Tejido adiposo blanco,¿Dónde se concentra tejido adiposo blanco subcutáneo?,"Abdomen, región glútea, axilas y muslos."
Capítulo 9,Tejido adiposo blanco,¿Qué factor influye en el espesor y distribución del tejido adiposo subcutáneo?,El sexo.
Capítulo 9,Tejido adiposo blanco,¿Qué tejido es el componente principal de la glándula mamaria no lactante?,Tejido adiposo blanco.
Capítulo 9,Tejido adiposo blanco,¿Qué función tiene la almohadilla grasa mamaria en lactancia?,Aporta lípidos y energía para producción de leche.
Capítulo 9,Tejido adiposo blanco,¿Qué puede sintetizar la almohadilla grasa mamaria además de aportar energía?,Factores de crecimiento.
Capítulo 9,Tejido adiposo blanco,¿Dónde se localiza tejido adiposo blanco en órganos internos?,"Omento mayor, mesenterio y espacio retroperitoneal."
Capítulo 9,Tejido adiposo blanco,¿Qué órgano suele estar rodeado por abundante tejido adiposo retroperitoneal?,Riñón.
Capítulo 9,Tejido adiposo blanco,¿Dónde actúa el tejido adiposo blanco como almohadilla protectora?,"Palmas, plantas, órbita y bajo pericardio visceral."
Capítulo 9,Tejido adiposo blanco,¿Qué tejido adiposo estructural se mantiene incluso con ingesta calórica reducida?,"Almohadillas protectoras de palmas, plantas, órbita y corazón."
Capítulo 9,Tejido adiposo blanco,¿Qué función tiene el tejido adiposo en la órbita?,Amortigua y protege el globo ocular.
Capítulo 9,Tejido adiposo blanco,¿Qué función tiene el tejido adiposo en palmas y plantas?,Amortiguación protectora.
Capítulo 9,Adipocinas,¿Qué son las adipocinas?,Sustancias biológicamente activas secretadas por adipocitos.
Capítulo 9,Adipocinas,¿Qué tejido adiposo secreta muchas adipocinas?,Tejido adiposo blanco.
Capítulo 9,Adipocinas,¿Qué funciones generales regulan las adipocinas?,"Homeostasis energética, adipogénesis, metabolismo de esteroides, angiogénesis e inmunidad."
Capítulo 9,Adipocinas,¿Cuál es la adipocina más importante mencionada en el capítulo?,Leptina.
Capítulo 9,Leptina,¿Qué es la leptina?,Hormona peptídica secretada principalmente por adipocitos.
Capítulo 9,Leptina,¿Qué tamaño aproximado tiene la leptina?,16 kDa.
Capítulo 9,Leptina,¿Qué célula produce principalmente leptina?,Adipocito.
Capítulo 9,Leptina,¿Qué función general tiene la leptina?,Regular homeostasis energética.
Capítulo 9,Leptina,¿Qué efecto tiene la leptina sobre la ingesta de alimentos?,La inhibe.
Capítulo 9,Leptina,¿Qué efecto tiene la leptina sobre la tasa metabólica?,La aumenta.
Capítulo 9,Leptina,¿Qué efecto tiene la leptina sobre el peso corporal?,Favorece pérdida de peso.
Capítulo 9,Leptina,¿Por qué la leptina se considera factor de saciedad circulante?,Porque informa que los depósitos energéticos son suficientes.
Capítulo 9,Leptina,¿A qué órgano informa la leptina sobre el estado energético del tejido adiposo?,Al encéfalo.
Capítulo 9,Leptina,¿Dónde se localizan principalmente los receptores de leptina que regulan apetito?,Hipotálamo.
Capítulo 9,Leptina,¿Qué comunica la leptina desde regiones de almacenamiento de grasa?,El estado energético de los adipocitos.
Capítulo 9,Leptina,¿Qué órganos pueden producir pequeñas cantidades de leptina además del tejido adiposo?,"Estómago, placenta, glándula mamaria y ovarios."
Capítulo 9,Leptina,¿Qué indica la concentración circulante de leptina?,Masa de tejido adiposo y energía almacenada.
Capítulo 9,Leptina,¿Qué ocurre con la leptina durante inanición?,Disminuye.
Capítulo 9,Leptina,¿Qué respuestas puede desencadenar leptina baja durante inanición?,Disminución del gasto energético y alteraciones neuroendocrinas.
Capítulo 9,Leptina,¿Qué ocurre con la leptina en la mayoría de personas obesas?,Está elevada.
Capítulo 9,Leptina,¿Qué puede producir mutación en genes de leptina o su receptor?,Obesidad intensa.
Capítulo 9,Adipocinas,¿Qué adipocina aumenta la sensibilidad a la insulina?,Adiponectina.
Capítulo 9,Adipocinas,¿Qué adipocina estimula oxidación de ácidos grasos en hígado y músculo?,Adiponectina.
Capítulo 9,Adipocinas,¿Qué adipocina disminuye triglicéridos y glucosa plasmáticos?,Adiponectina.
Capítulo 9,Adipocinas,¿Qué adipocina aumenta resistencia a la insulina?,Resistina.
Capítulo 9,Adipocinas,¿Qué adipocina se vincula con obesidad y diabetes tipo 2?,Resistina.
Capítulo 9,Adipocinas,¿Qué adipocina del tejido adiposo visceral disminuye sensibilidad a insulina?,RBP-4.
Capítulo 9,Adipocinas,¿Qué significa RBP-4?,Proteína fijadora de retinol 4.
Capítulo 9,Adipocinas,¿Qué adipocina inhibe fibrinólisis?,PAI-1.
Capítulo 9,Adipocinas,¿Qué significa PAI-1?,Inhibidor del activador del plasminógeno 1.
Capítulo 9,Adipocinas,¿Qué adipocina participa en presión arterial por ser precursora de angiotensina II?,Angiotensinógeno.
Capítulo 9,Adipocinas,¿Qué adipocina cardíaca aumenta contractilidad y baja presión arterial?,Apelina.
Capítulo 9,Adipocinas,¿Qué adipocina producida por tejido adiposo visceral se correlaciona con masa grasa visceral?,Visfatina.
Capítulo 9,Adipocinas,¿Qué citocina adiposa regula metabolismo de glucosa y lípidos?,IL-6.
Capítulo 9,Adipocinas,¿Qué adipocina puede interferir con señalización del receptor de insulina?,TNF-α.
Capítulo 9,Adipocinas,¿Qué factor de crecimiento adiposo media efectos de somatotropina?,IGF-1.
Capítulo 9,Adipocinas,"¿Qué factor de crecimiento regula proliferación, diferenciación y apoptosis?",TGF-β.
Capítulo 9,Adipocinas,¿Qué molécula sirve como marcador de acumulación lipídica celular?,Adipofilina.
Capítulo 9,Adipocinas,¿Qué proteína estimula síntesis de triglicéridos en tejido adiposo?,Proteína estimulante de acilación.
Capítulo 9,Adipocinas,¿Qué prostaglandinas del tejido adiposo participan en inflamación y coagulación?,PGI2 y PGF2α.
Capítulo 9,Metabolismo de esteroides,¿Qué hormonas esteroideas puede producir el tejido adiposo?,"Testosterona, estrógenos y glucocorticoides."
Capítulo 9,Metabolismo de esteroides,¿Cómo ayudan los adipocitos a regular hormonas sexuales y glucocorticoides?,Convierten formas inactivas en formas activas.
Capítulo 9,Metabolismo de esteroides,¿Qué puede alterar la conversión esteroidea aumentada en obesidad?,El perfil de esteroides sexuales.
Capítulo 9,Obesidad y adipocinas,¿Qué adipocinas aumentadas en obesidad pueden relacionarse con diabetes?,"TNF-α, TGF-β, IGF-1, IL-6 y prostaglandinas."
Capítulo 9,Obesidad y adipocinas,¿Qué factor adiposo se asocia a resistencia a insulina en obesidad y diabetes?,TNF-α.
Capítulo 9,Obesidad y adipocinas,¿Qué adipocina disminuida se asocia con menor sensibilidad a insulina?,Adiponectina.
Capítulo 9,Diferenciación del adipocito blanco,¿De qué células derivan los adipocitos blancos?,Células madre mesenquimatosas perivasculares.
Capítulo 9,Diferenciación del adipocito blanco,¿Dónde se ubican las células madre mesenquimatosas que originan adipocitos blancos?,Adventicia de pequeñas vénulas.
Capítulo 9,Diferenciación del adipocito blanco,¿Qué factores de transcripción controlan diferenciación del adipocito blanco?,PPARγ/RXR.
Capítulo 9,Diferenciación del adipocito blanco,¿Qué factor se considera interruptor maestro del adipocito blanco?,Complejo PPARγ/RXR.
Capítulo 9,Diferenciación del adipocito blanco,¿Qué induce el complejo PPARγ/RXR?,Maduración de preadipocitos hacia adipocitos blancos.
Capítulo 9,Diferenciación del adipocito blanco,¿Qué genes diana de PPARγ favorecen almacenamiento de triglicéridos?,Genes lipogénicos.
Capítulo 9,Diferenciación del adipocito blanco,¿Cuándo empieza a formarse el tejido adiposo blanco?,En vida fetal.
Capítulo 9,Diferenciación del adipocito blanco,¿De dónde se desarrollan inicialmente los lipoblastos fetales?,Células del estroma vascular junto a vasos pequeños.
Capítulo 9,Diferenciación del adipocito blanco,¿Qué nombre reciben agrupaciones fetales de lipoblastos tempranos y capilares proliferantes?,Órganos adiposos primitivos.
Capítulo 9,Lipoblastos,¿Qué son los lipoblastos tempranos?,Preadipocitos con aspecto fibroblástico y pequeñas inclusiones lipídicas.
Capítulo 9,Lipoblastos,¿A qué células se parecen los lipoblastos tempranos?,Fibroblastos.
Capítulo 9,Lipoblastos,¿Qué característica distingue al adipocito de células conjuntivas típicas?,Lámina externa.
Capítulo 9,Lipoblastos,¿Qué aparece en un polo del citoplasma del lipoblasto temprano?,Pequeñas inclusiones lipídicas.
Capítulo 9,Lipoblastos,¿Qué organelos abundan en lipoblastos tempranos?,Retículo endoplasmático y aparato de Golgi.
Capítulo 9,Lipoblastos,¿Qué ocurre con el RER durante diferenciación del lipoblasto?,Disminuye.
Capítulo 9,Lipoblastos,¿Qué estructura se vuelve evidente alrededor de lipoblastos en diferenciación?,Lámina externa.
Capítulo 9,Lipoblastos,¿Qué forma adoptan los lipoblastos intermedios?,Ovoide.
Capítulo 9,Lipoblastos,¿Qué caracteriza al lipoblasto intermedio?,Gotitas lipídicas alrededor del núcleo hacia ambos polos.
Capítulo 9,Lipoblastos,¿Qué aparece en la periferia de inclusiones lipídicas del lipoblasto intermedio?,Partículas de glucógeno.
Capítulo 9,Lipoblastos,¿Qué caracteriza al lipoblasto tardío?,Gotitas lipídicas que confluyen en una sola gota grande.
Capítulo 9,Lipoblastos,¿Qué organelo es abundante en lipoblastos tardíos?,REL.
Capítulo 9,Lipoblastos,¿Qué ocurre con el núcleo al formarse una gota lipídica grande?,Se aplana y desplaza periféricamente.
Capítulo 9,Adipocito unilocular,¿Qué otro nombre recibe el adipocito blanco maduro?,Adipocito unilocular.
Capítulo 9,Adipocito unilocular,¿Por qué el adipocito blanco se llama unilocular?,Porque contiene una sola inclusión lipídica grande.
Capítulo 9,Adipocito unilocular,¿Qué aspecto tiene el adipocito unilocular en H&E?,Anillo de sello.
Capítulo 9,Adipocito unilocular,¿Por qué el adipocito unilocular parece un anillo de sello?,Porque la grasa extraída deja una gran vacuola y desplaza el núcleo.
Capítulo 9,Adipocito unilocular,¿Qué tamaño pueden alcanzar los adipocitos uniloculares?,100 µm o más.
Capítulo 9,Adipocito unilocular,¿Qué forma tienen adipocitos blancos aislados?,Esférica.
Capítulo 9,Adipocito unilocular,¿Qué forma adoptan adipocitos blancos agrupados?,Ovalada o poliédrica.
Capítulo 9,Adipocito unilocular,¿Qué causa el gran tamaño del adipocito blanco?,Acumulación de lípidos.
Capítulo 9,Adipocito unilocular,¿Dónde se ubica el núcleo del adipocito blanco?,Aplanado y periférico.
Capítulo 9,Adipocito unilocular,¿Cómo se dispone el citoplasma del adipocito blanco?,Como un borde delgado alrededor de la gota lipídica.
Capítulo 9,Adipocito unilocular,¿Por qué los adipocitos se ven vacíos en cortes de parafina?,Porque los solventes disuelven la grasa.
Capítulo 9,Adipocito unilocular,¿Qué aspecto forma el tejido adiposo blanco en H&E?,Malla delicada con espacios poligonales.
Capítulo 9,Adipocito unilocular,¿Qué representa cada espacio vacío en tejido adiposo blanco teñido con H&E?,Una gota lipídica disuelta.
Capítulo 9,Adipocito unilocular,¿Qué forma la hebra fina entre adipocitos vecinos?,Citoplasma de adipocitos y poca matriz extracelular.
Capítulo 9,Adipocito unilocular,¿Qué fibras rodean a los adipocitos blancos?,Fibras reticulares.
Capítulo 9,Adipocito unilocular,¿Qué colágeno forma las fibras reticulares alrededor de adipocitos?,Colágeno tipo III.
Capítulo 9,Adipocito unilocular,¿Qué célula secreta fibras reticulares alrededor del adipocito?,Adipocito.
Capítulo 9,Adipocito unilocular,¿Qué vasos se observan en ángulos entre adipocitos?,Capilares.
Capítulo 9,Adipocito unilocular,¿Qué tipo de inervación puede observarse en tejido adiposo blanco?,Fibras nerviosas amielínicas.
Capítulo 9,Adipocito unilocular,¿Qué célula inmunitaria puede ser abundante en tejido adiposo?,Mastocito.
Capítulo 9,Adipocito unilocular,¿La masa lipídica del adipocito está rodeada por membrana celular?,No.
Capítulo 9,Adipocito unilocular,¿Qué separa la grasa hidrófoba del citoplasma hidrófilo en el adipocito?,Capa de lípidos condensados reforzada por vimentina.
Capítulo 9,Adipocito unilocular,¿Qué filamento intermedio refuerza la interfaz de la gota lipídica?,Vimentina.
Capítulo 9,Adipocito unilocular,¿Qué contiene el citoplasma perinuclear del adipocito?,"Golgi pequeño, ribosomas libres, RER corto, microfilamentos y filamentos intermedios."
Capítulo 9,Adipocito unilocular,¿Qué organelo abunda en el reborde citoplasmático periférico del adipocito?,REL.
Capítulo 9,Adipocito unilocular,¿Qué tipo de mitocondrias se encuentran en el reborde citoplasmático del adipocito blanco?,Mitocondrias filamentosas.
Capítulo 9,Regulación del tejido adiposo,"¿Qué eje regula apetito, hambre, saciedad y homeostasis energética?",Eje encefaloenteroadiposo.
Capítulo 9,Regulación del tejido adiposo,¿Qué sistemas integra el eje encefaloenteroadiposo?,"Tejido adiposo, tubo digestivo y sistema nervioso central."
Capítulo 9,Regulación del tejido adiposo,¿Cuáles son los dos sistemas fisiológicos que regulan la cantidad de tejido adiposo?,Regulación a corto plazo y regulación a largo plazo.
Capítulo 9,Regulación a corto plazo,¿Qué controla la regulación del peso a corto plazo?,Apetito y metabolismo cotidianos.
Capítulo 9,Regulación a corto plazo,¿Qué hormona digestiva estimula el apetito?,Grelina.
Capítulo 9,Regulación a corto plazo,¿Qué hormona digestiva suprime el apetito?,Péptido YY.
Capítulo 9,Regulación a corto plazo,¿Qué significa PYY?,Péptido YY.
Capítulo 9,Grelina,¿Qué es la grelina?,Hormona peptídica estimulante del apetito.
Capítulo 9,Grelina,¿Cuántos aminoácidos tiene la grelina?,28 aminoácidos.
Capítulo 9,Grelina,¿Dónde actúa la grelina para aumentar hambre?,Hipotálamo.
Capítulo 9,Grelina,¿Qué hormona hipofisaria estimula la grelina?,Somatotropina.
Capítulo 9,Grelina,¿Qué otro nombre recibe la somatotropina?,Hormona del crecimiento.
Capítulo 9,Grelina,¿Por qué la grelina es un factor promotor de alimentación?,Porque aumenta la sensación de hambre.
Capítulo 9,Grelina,¿Qué síndrome se asocia con producción excesiva de grelina y obesidad mórbida?,Síndrome de Prader-Willi.
Capítulo 9,Grelina,¿Qué cromosoma está implicado en el síndrome de Prader-Willi mencionado en el texto?,Cromosoma 15.
Capítulo 9,Péptido YY,¿Qué es el péptido YY?,Hormona gastrointestinal que induce saciedad.
Capítulo 9,Péptido YY,¿Cuántos aminoácidos tiene el péptido YY?,36 aminoácidos.
Capítulo 9,Péptido YY,¿Dónde se produce el péptido YY?,Intestino delgado.
Capítulo 9,Péptido YY,¿Qué efecto tiene PYY sobre la ingesta alimentaria?,La disminuye.
Capítulo 9,Péptido YY,¿Qué efecto tiene PYY después de una comida?,Aumenta la saciedad.
Capítulo 9,Péptido YY,¿Dónde actúa PYY para suprimir apetito?,Hipotálamo.
Capítulo 9,Regulación a largo plazo,¿Qué controla la regulación del peso a largo plazo?,Apetito y metabolismo durante meses o años.
Capítulo 9,Regulación a largo plazo,¿Qué dos hormonas principales regulan el peso corporal a largo plazo?,Leptina e insulina.
Capítulo 9,Regulación a largo plazo,¿Qué otras hormonas participan en regulación del peso a largo plazo?,"Tiroideas, glucocorticoides e hipofisarias."
Capítulo 9,Insulina y tejido adiposo,¿Qué hormona pancreática regula glucemia y metabolismo adiposo?,Insulina.
Capítulo 9,Insulina y tejido adiposo,¿Qué efecto tiene la insulina sobre triglicéridos en adipocitos?,Estimula su síntesis.
Capítulo 9,Insulina y tejido adiposo,¿Qué efecto tiene la insulina sobre acumulación de tejido adiposo?,La favorece.
Capítulo 9,Insulina y tejido adiposo,¿Qué diferencia clave hay entre leptina e insulina en tejido adiposo?,La insulina es necesaria para acumular tejido adiposo.
Capítulo 9,Insulina y tejido adiposo,¿Qué efecto tiene la insulina sobre enzimas lipogénicas?,Estimula su síntesis.
Capítulo 9,Insulina y tejido adiposo,¿Qué enzimas lipogénicas estimula la insulina?,Ácido graso sintasa y acetil-CoA carboxilasa.
Capítulo 9,Insulina y tejido adiposo,¿Qué efecto tiene la insulina sobre lipasa sensible a hormonas?,La inhibe.
Capítulo 9,Insulina y tejido adiposo,¿Qué efecto tiene la insulina sobre liberación de ácidos grasos?,La bloquea.
Capítulo 9,Movilización lipídica,¿Qué es la movilización lipídica?,Desdoblamiento de triglicéridos en glicerol y ácidos grasos.
Capítulo 9,Movilización lipídica,¿Qué enzima desdobla triglicéridos almacenados en adipocitos?,Lipasa.
Capítulo 9,Movilización lipídica,¿Qué productos genera la lipólisis de triglicéridos?,Glicerol y ácidos grasos.
Capítulo 9,Movilización lipídica,¿Qué proteína transporta ácidos grasos libres en sangre?,Albúmina.
Capítulo 9,Movilización lipídica,¿Hacia dónde van los ácidos grasos movilizados?,A células que los usan como combustible metabólico.
Capítulo 9,Movilización lipídica,¿Qué neurotransmisor simpático inicia movilización lipídica?,Noradrenalina.
Capítulo 9,Movilización lipídica,¿Qué sistema nervioso estimula movilización lipídica durante ayuno y frío?,Sistema nervioso simpático.
Capítulo 9,Movilización lipídica,¿Qué situaciones hacen importante la movilización neuronal de lípidos?,Ayuno y exposición intensa al frío.
Capítulo 9,Movilización lipídica,¿Qué hormona pancreática aumenta utilización de lípidos?,Glucagón.
Capítulo 9,Movilización lipídica,¿Qué hormona hipofisaria aumenta lipólisis?,Somatotropina.
Capítulo 9,Movilización lipídica,¿Qué hormonas incrementan lipogénesis y promueven enzimas lipolíticas?,Hormonas tiroideas.
Capítulo 9,Movilización lipídica,¿Qué esteroide suprarrenal estimula lipólisis?,Cortisol.
Capítulo 9,Movilización lipídica,¿Qué hormona suprime degradación de lípidos?,Insulina.
Capítulo 9,Movilización lipídica,¿Qué hormona favorece lipogénesis?,Insulina.
Capítulo 9,Obesidad,¿Cómo se define obesidad según porcentaje de grasa corporal?,Exceso de grasa corporal sobre la media normal para edad y sexo.
Capítulo 9,Obesidad,¿Qué índice se usa frecuentemente para clasificar sobrepeso y obesidad?,IMC.
Capítulo 9,Obesidad,¿Qué significa IMC?,Índice de masa corporal.
Capítulo 9,Obesidad,¿Cómo se calcula el IMC?,Peso en kg dividido por altura en m².
Capítulo 9,Obesidad,¿Qué IMC aproximado se considera normal?,Alrededor de 25 kg/m².
Capítulo 9,Obesidad,¿Qué rango de IMC se considera sobrepeso?,25-29.9 kg/m².
Capítulo 9,Obesidad,¿Qué IMC corresponde a obesidad?,Mayor o igual a 30 kg/m².
Capítulo 9,Obesidad,¿Qué enfermedades se asocian con obesidad?,"Hipertensión, enfermedad cardiovascular, diabetes y cáncer."
Capítulo 9,Obesidad,¿Qué aspecto tienen adipocitos en tejido adiposo de personas obesas?,Hipertróficos con inclusión lipídica enorme.
Capítulo 9,Obesidad,¿Qué células inmunitarias infiltran el tejido adiposo obeso?,Macrófagos.
Capítulo 9,Obesidad,¿Qué función tienen macrófagos en tejido adiposo obeso?,Retiran adipocitos dañados y restos celulares.
Capítulo 9,Obesidad,¿Qué tipo de inflamación presenta el tejido adiposo obeso?,Inflamación crónica de bajo grado.
Capítulo 9,Obesidad,¿Qué relación hay entre tamaño adipocitario y macrófagos en obesidad?,"A mayor tamaño adipocitario, más macrófagos."
Capítulo 9,Obesidad,¿Qué alteración hormonal ocurre con leptina en obesidad?,Aumenta leptina y puede aparecer resistencia a leptina.
Capítulo 9,Obesidad,¿Qué alteración metabólica promueven ácidos grasos y adipocinas en obesidad?,Resistencia a la insulina.
Capítulo 9,Obesidad,¿Qué es lipotoxicidad?,Acumulación patológica de lípidos en órganos no adiposos.
Capítulo 9,Obesidad,¿Qué órganos pueden sufrir lipotoxicidad en obesidad?,"Hígado, riñón, páncreas y corazón."
Capítulo 9,Obesidad,¿Qué enfermedad hepática se asocia a lipotoxicidad por obesidad?,Hígado graso no alcohólico.
Capítulo 9,Tejido adiposo pardo,¿Qué función principal tiene el tejido adiposo pardo?,Producción de calor.
Capítulo 9,Tejido adiposo pardo,¿Qué tipo de tejido adiposo es termogénico?,Tejido adiposo pardo.
Capítulo 9,Tejido adiposo pardo,¿En quiénes es más abundante el tejido adiposo pardo?,En fetos y neonatos.
Capítulo 9,Tejido adiposo pardo,¿Qué porcentaje aproximado de la masa corporal neonatal representa el tejido adiposo pardo?,Casi 5%.
Capítulo 9,Tejido adiposo pardo,¿Por qué el tejido adiposo pardo es importante en neonatos?,Protege contra pérdida de calor e hipotermia.
Capítulo 9,Tejido adiposo pardo,¿Por qué los neonatos necesitan tejido adiposo pardo para conservar calor?,Porque tienen mayor superficie corporal relativa a su masa.
Capítulo 9,Tejido adiposo pardo,¿Qué riesgo importante reduce el tejido adiposo pardo en lactantes prematuros?,Hipotermia mortal.
Capítulo 9,Tejido adiposo pardo,¿Qué ocurre con el tejido adiposo pardo al crecer el cuerpo?,Disminuye gradualmente.
Capítulo 9,Tejido adiposo pardo,¿Dónde se localiza tejido adiposo pardo en neonatos?,"Dorso, mitad superior de la columna y región hacia los hombros."
Capítulo 9,Tejido adiposo pardo,¿Qué regiones infantiles pueden contener tejido adiposo pardo durante la primera década?,"Cervical, axilar, paravertebral, mediastínica, esternal y abdominal."
Capítulo 9,Tejido adiposo pardo,¿Dónde persiste tejido adiposo pardo en adultos?,"Alrededor de riñones, suprarrenales, grandes vasos, cuello, dorso y mediastino."
Capítulo 9,Tejido adiposo pardo,¿Qué regiones cervicales adultas pueden contener tejido adiposo pardo?,Cervical profunda y supraclavicular.
Capítulo 9,Tejido adiposo pardo,¿Qué regiones dorsales adultas pueden contener tejido adiposo pardo?,Interescapular y paravertebral.
Capítulo 9,Tejido adiposo pardo,¿Qué vaso grande puede estar rodeado por tejido adiposo pardo en adultos?,Aorta.
Capítulo 9,Tejido adiposo pardo,¿Qué característica vascular contribuye al color del tejido adiposo pardo?,Extenso suministro capilar.
Capítulo 9,Tejido adiposo pardo,¿Qué orgánulo contribuye al color pardo de los adipocitos pardos?,Mitocondrias.
Capítulo 9,Tejido adiposo pardo,¿Qué enzima mitocondrial contribuye al color pardo del tejido adiposo pardo?,Citocromo-oxidasa.
Capítulo 9,Adipocito multilocular,¿Qué otro nombre recibe el adipocito pardo?,Adipocito multilocular.
Capítulo 9,Adipocito multilocular,¿Por qué el adipocito pardo se llama multilocular?,Porque contiene muchas gotitas lipídicas.
Capítulo 9,Adipocito multilocular,¿Qué diferencia lipídica central hay entre adipocito blanco y pardo?,El blanco tiene una gota grande; el pardo tiene muchas gotas pequeñas.
Capítulo 9,Adipocito multilocular,¿Qué tamaño tienen los adipocitos pardos comparados con los blancos?,Son más pequeños.
Capítulo 9,Adipocito multilocular,¿Cuál es el diámetro aproximado del adipocito pardo?,10-25 µm.
Capítulo 9,Adipocito multilocular,¿Qué forma suelen tener los adipocitos pardos?,Esférica o poliédrica.
Capítulo 9,Adipocito multilocular,¿Cómo es el núcleo del adipocito pardo maduro?,"Excéntrico, pero no aplanado."
Capítulo 9,Adipocito multilocular,¿Qué diferencia nuclear hay entre adipocito blanco y pardo?,El blanco tiene núcleo aplanado; el pardo no.
Capítulo 9,Adipocito multilocular,¿Cómo se ve el citoplasma del adipocito pardo en H&E?,Con múltiples espacios redondeados vacíos.
Capítulo 9,Adipocito multilocular,¿Por qué aparecen espacios vacíos en adipocitos pardos en H&E?,Porque se pierden las gotitas lipídicas durante la preparación.
Capítulo 9,Adipocito multilocular,¿Qué orgánulos abundan en adipocitos pardos?,Mitocondrias.
Capítulo 9,Adipocito multilocular,¿Cómo son las mitocondrias del adipocito pardo?,"Grandes, redondeadas y con muchas crestas."
Capítulo 9,Adipocito multilocular,¿Qué organelo es pequeño en adipocitos pardos?,Aparato de Golgi.
Capítulo 9,Adipocito multilocular,¿Qué organelos son escasos en adipocitos pardos?,RER y REL.
